audit_id,result,report_path,dependency_report_path,needed_entries,unresolved_count
e14_homadv_game2,Homogeneous-adversary Game2 payoff scaling by n and competition; adversary payoff advantage versus group size,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e14_homadv_game2.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e14_homadv_game2.json,53,5
e15_homadv_game3,"Game3 homogeneous-adversary Elo slopes by n and competition, plus adversary-minus-baseline gap growth",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e15_homadv_game3.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e15_homadv_game3.json,1654,6
e16_homogeneous_game1,Game1 homogeneous payoff inequality and heterogeneous comparison,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e16_homogeneous_game1.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e16_homogeneous_game1.json,51,6
e17_homogeneous_game2,Game2 homogeneous population-payoff variance and o3-mini no-agreement effect,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e17_homogeneous_game2.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e17_homogeneous_game2.json,351,6
e18_homogeneous_game3,Homogeneous Game3 payoff inequality and pooled heterogeneous reference,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e18_homogeneous_game3.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e18_homogeneous_game3.json,155,6
e19_n2_fairness,Two-player signed fairness residuals and absolute benchmark distances across games and competition,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e19_n2_fairness.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e19_n2_fairness.json,32,8
e20_endpoint_fairness,Main Figure 3 right: endpoint baseline/adversary fairness gaps,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e20_endpoint_fairness.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e20_endpoint_fairness.json,41,5
e21_multiagent_fairness,"Multiagent fair-share residuals in main bottom-left panel and full appendix figure, including role comparison and homogeneous o3-mini exception",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e21_multiagent_fairness.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e21_multiagent_fairness.json,34,7
e22_baseline_variance,Baseline-only payoff variance and role-payoff comparison in homogeneous-adversary groups,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e22_baseline_variance.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e22_baseline_variance.json,39,6
e23_baseline_gini,Figure 13 corrected baseline-only Gini across homogeneous-adversary models,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e23_baseline_gini.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e23_baseline_gini.json,23,4
e24_qualitative_categories,"Six behavior-category payoff correlations and Elo intensity trends, Figure4",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e24_qualitative_categories.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e24_qualitative_categories.json,40,6
e25_per_tag,Appendix23 per-tag Elo/intensity/payoff statistics and codebook mapping,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e25_per_tag.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e25_per_tag.json,30,6
e26_coalition_population,"Population exclusionary-coalition counts, organizer Elo and voting support",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e26_coalition_population.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e26_coalition_population.json,98,8
e27_gemini_cases,Gemini Game 1 coalition case studies and top-three variance contribution,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e27_gemini_cases.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e27_gemini_cases.json,98,5
e28_team_quantitative,"100 matched Game1 binding-team v3 reruns, payoff ratio and team-optimality rate",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e28_team_quantitative.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e28_team_quantitative.json,434,5
e29_team_cases,"Selected coordinated-team qualitative cases: n2 defeat, n4 exclusion, n8 objective confusion",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e29_team_cases.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e29_team_cases.json,160,5
e30_matched_coalitions,Matched GPT-5.4 High versus Gemini 3.1 Pro harmful-coalition replication,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e30_matched_coalitions.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e30_matched_coalitions.json,254,6
e31_welfare,Two-player welfare by competition and exact captured ratios,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e31_welfare.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e31_welfare.json,24,7
e32_random_pairing,"Two-player fixed baseline versus heterogeneous opponents, all three games",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e32_random_pairing.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e32_random_pairing.json,539,6
e33_rounds,"All-run rounds used versus Elo, unsuccessful negotiation assigned ten rounds",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e33_rounds.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e33_rounds.json,38,5
e34_order,Speaking-order diagnostic and fitted crossovers,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e34_order.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e34_order.json,30,6
e35_elo_snapshots,"March versus August Arena Elo snapshot sensitivity, 30 models and three games",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e35_elo_snapshots.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e35_elo_snapshots.json,32,6
e36_capability_benchmarks,"Alternative capability measures: 11 measures, 33 fits, coverage, uncertainty and source matches",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e36_capability_benchmarks.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e36_capability_benchmarks.json,41,6
e37_game1_generation,"Game1 valuation generation, target competition, fixed totals and item-count scaling",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e37_game1_generation.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e37_game1_generation.json,20,6
e38_game2_generation,Game2 preference generation,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e38_game2_generation.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e38_game2_generation.json,24,5
e39_game3_generation,"Game3 project, budget and valuation generation",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e39_game3_generation.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e39_game3_generation.json,556,4
e40_protocol_runtime,"Shared negotiation protocol, live prompt generation and runtime support",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e40_protocol_runtime.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e40_protocol_runtime.json,58,7
e41_rosters_inventory,"Experiment count, model roster, alias, sampling and grid-size provenance",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e41_rosters_inventory.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e41_rosters_inventory.json,28,5
e42_metrics_solvers,"Shared welfare, fairness, inequality and discounting solvers",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e42_metrics_solvers.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e42_metrics_solvers.json,26,7
e43_tests_environment,"Test, environment, hidden-hook and broad filename safety audit",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e43_tests_environment.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e43_tests_environment.json,98,9
e44_nonpaper_tools,"Non-paper interactive review, developer helpers, visualization and notebook retention",/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e44_nonpaper_tools.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e44_nonpaper_tools.json,29,8
e45_cleanup_crosscheck,Cross-codebase cleanup candidates and historical retention-manifest check,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e45_cleanup_crosscheck.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/e45_cleanup_crosscheck.json,7,5
root_recovered_archives,Recovered replacement launch provenance for E02/E03,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/root_recovered_archives.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/root_recovered_archives.json,27,1
root_import_closure,Static local import closure cross-check,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/root_import_closure.md,/scratch/gpfs/DANQIC/jz4391/bargain/docs/analysis/paper_code_audit_20260907/root_import_closure.json,6,2
