kind,source_order_number,source_path,line,labels,audit_ids,graphic_inputs
figure,23,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,542,fig:appendix_multiagent_fairshare_full,e21,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/appendix_multiagent/multiagent_fairshare_full.pdf
figure,24,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,556,fig:appendix_multiagent_hetero_payoff_full,e10;e11;e12,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/heterogeneous_payoff_vs_arena_elo_by_n.png
figure,25,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,563,fig:multiagent_hetero_buckets,e10;e11;e12,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/heterogeneous_utility_by_elo_bucket_by_n.png
figure,26,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,570,fig:appendix_multiagent_hetero_competition,e10;e11;e12,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/heterogeneous_payoff_vs_arena_elo_by_competition_5x3.png
figure,27,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,584,fig:appendix_multiagent_hom_payoff_full,e13;e14;e15,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/hom_adversary_payoff_vs_elo_by_n.png
figure,28,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,591,fig:appendix_multiagent_hom_competition,e13;e14;e15,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/hom_adversary_payoff_vs_elo_by_competition_3x5.png
figure,29,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,600,fig:appendix_multiagent_dilution,e13;e14;e15,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/n_gt_2_report/hom_adversary_dilution_advantage_vs_n_top_only_clean.png
figure,30,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,638,fig:appendix_gpt54_matched_coalitions,e30,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/graphics/appendix_multiagent/gpt54_gemini_matched_coalition_rates.pdf
table,9,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,658,tab:appendix_codebook,e24;e25,
table,10,/scratch/gpfs/DANQIC/jz4391/bargain/overleaf/iclr_aiwild_template/appendix.tex,707,tab:appendix_tag_level,e25,
