experiment_dir,source_batch,agent_id,utility,model_pair,model_order,token_budget_prompted,competition_level,consensus_reached,final_round,total_reasoning_tokens,avg_reasoning_tokens,is_prompted_reasoning,thinking_tokens,reflection_tokens,discussion_tokens,proposal_tokens,voting_tokens,num_interactions,round_1_tokens,round_2_tokens,round_3_tokens,round_4_tokens,round_5_tokens,round_6_tokens,round_7_tokens,round_8_tokens,round_9_tokens,round_10_tokens
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,0.0,True,1,18944,2104.8888888888887,False,2944.0,0.0,2922.6666666666665,1066.6666666666667,800.0,9,14912,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,83.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,0.25,True,1,2744,304.8888888888889,True,892.0,0.0,450.3333333333333,148.66666666666666,124.0,9,2689,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,90.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,0.25,True,1,21376,2375.1111111111113,False,3584.0,0.0,3541.3333333333335,1472.0,1280.0,9,18624,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,66.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,0.5,True,1,2597,288.55555555555554,True,226.0,0.0,616.3333333333334,158.0,137.0,9,2549,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,86.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,0.5,True,1,29824,3313.777777777778,False,4352.0,0.0,5290.666666666667,2090.6666666666665,2272.0,9,26496,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,52.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,0.75,True,1,3363,373.6666666666667,True,775.0,0.0,629.0,221.66666666666666,121.0,9,3327,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,78.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,0.75,True,1,21312,2368.0,False,3136.0,0.0,3328.0,1664.0,1632.0,9,18112,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,74.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,1.0,True,6,44263,903.3265306122449,True,984.6666666666666,636.8,1789.4444444444443,160.27777777777777,153.0,49,6792,5496,9804,5296,7012,9787,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,26.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,1000,1.0,True,6,178112,3634.938775510204,False,4565.333333333333,4505.6,5116.444444444444,1792.0,1690.6666666666667,49,33344,36352,24896,27072,30144,22464,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,0.0,True,1,1582,175.77777777777777,True,300.0,0.0,361.0,49.0,38.0,9,1530,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,0.0,True,1,23168,2574.222222222222,False,2624.0,0.0,3370.6666666666665,1280.0,1024.0,9,16576,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,88.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,0.25,True,1,6413,712.5555555555555,True,1244.0,0.0,1411.6666666666667,195.0,181.0,9,6064,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,77.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,0.25,True,1,28736,3192.8888888888887,False,5120.0,0.0,5290.666666666667,1344.0,1376.0,9,25024,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,61.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,0.5,True,1,4500,500.0,True,586.0,0.0,1142.6666666666667,136.0,75.5,9,4422,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,78.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,0.5,True,1,25728,2858.6666666666665,False,3648.0,0.0,4373.333333333333,1856.0,1760.0,9,22336,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,69.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,0.75,True,2,10280,604.7058823529412,True,737.0,1326.0,768.3333333333334,435.8333333333333,546.5,17,5928,4097,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,45.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,0.75,True,2,57984,3410.823529411765,False,3136.0,5376.0,4810.666666666667,2378.6666666666665,2944.0,17,34048,20736,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,60.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,1.0,True,5,31293,763.2439024390244,True,813.6,428.0,1512.0666666666666,185.53333333333333,166.1,41,6470,6755,6516,5112,6391,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_10000/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,40.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,10000,1.0,True,5,140160,3418.5365853658536,False,5171.2,4208.0,4599.466666666666,1608.5333333333333,1670.4,41,30720,26240,26688,25088,27072,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,0.0,True,1,2024,224.88888888888889,True,380.0,0.0,460.6666666666667,55.333333333333336,64.0,9,1928,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,0.0,True,1,22976,2552.8888888888887,False,6272.0,0.0,3648.0,1002.6666666666666,928.0,9,20224,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,70.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,0.25,True,1,3277,364.1111111111111,True,830.0,0.0,596.0,211.66666666666666,186.5,9,3253,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,94.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,0.25,True,1,28672,3185.777777777778,False,5312.0,0.0,4181.333333333333,1792.0,1600.0,9,23232,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,88.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,0.5,True,1,3530,392.22222222222223,True,806.0,0.0,692.3333333333334,193.33333333333334,170.0,9,3463,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,62.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,0.5,True,1,29248,3249.777777777778,False,5376.0,0.0,4906.666666666667,1258.6666666666667,1280.0,9,23872,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,78.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,0.75,True,1,4173,463.6666666666667,True,650.0,0.0,1011.0,143.33333333333334,121.0,9,4113,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,55.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,0.75,True,1,31808,3534.222222222222,False,3840.0,0.0,5738.666666666667,2389.3333333333335,1600.0,9,28224,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,74.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,1.0,True,7,43049,755.2456140350877,True,971.2857142857143,642.5,1397.952380952381,136.0,110.5,57,7932,5727,6229,5988,5750,6855,4386,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_2000/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,26.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,2000,1.0,True,7,172864,3032.7017543859647,False,4361.142857142857,4458.666666666667,3858.285714285714,1514.6666666666667,1444.5714285714287,57,34496,30336,20160,25024,22464,21248,16384,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,0.0,True,1,1724,191.55555555555554,True,337.0,0.0,401.0,57.0,59.0,9,1711,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,0.0,True,1,20096,2232.8888888888887,False,3776.0,0.0,2410.6666666666665,874.6666666666666,736.0,9,13632,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,72.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,0.25,True,1,2792,310.22222222222223,True,279.0,0.0,655.6666666666666,165.33333333333334,180.5,9,2742,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,0.25,True,1,23296,2588.4444444444443,False,3008.0,0.0,3413.3333333333335,1685.3333333333333,1568.0,9,18304,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,65.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,0.5,True,1,2112,234.66666666666666,True,568.0,0.0,319.0,178.0,156.5,9,2059,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,79.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,0.5,True,1,22016,2446.222222222222,False,2432.0,0.0,3882.6666666666665,1642.6666666666667,1888.0,9,19008,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,67.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,0.75,True,1,2905,322.77777777777777,True,688.0,0.0,557.6666666666666,167.33333333333334,123.5,9,2863,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,53.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,0.75,True,1,21248,2360.8888888888887,False,4352.0,0.0,3136.0,1621.3333333333333,1664.0,9,18624,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,51.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,1.0,True,5,30759,750.219512195122,True,969.0,529.0,1382.0,202.0,199.6,41,6352,5472,4860,8387,5650,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_20000/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,49.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,20000,1.0,True,5,125952,3072.0,False,3648.0,4368.0,3724.8,2018.1333333333334,2265.6,41,22656,28928,18240,28352,23680,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,0.0,True,1,2623,291.44444444444446,True,267.0,0.0,714.0,56.666666666666664,58.5,9,2579,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,0.0,True,1,19456,2161.777777777778,False,3712.0,0.0,2965.3333333333335,1322.6666666666667,736.0,9,16576,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,77.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,0.25,True,1,2744,304.8888888888889,True,457.0,0.0,495.3333333333333,240.66666666666666,240.0,9,2665,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,94.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,0.25,True,1,22784,2531.5555555555557,False,2944.0,0.0,3648.0,1642.6666666666667,832.0,9,18816,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,64.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,0.5,True,1,4506,500.6666666666667,True,1464.0,0.0,707.6666666666666,280.6666666666667,226.0,9,4429,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,46.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,0.5,True,1,24384,2709.3333333333335,False,3200.0,0.0,3669.3333333333335,2133.3333333333335,2048.0,9,20608,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,63.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,0.75,True,1,3753,417.0,True,1320.0,0.0,628.6666666666666,122.0,142.0,9,3572,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,72.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,0.75,True,1,21824,2424.8888888888887,False,4800.0,0.0,2773.3333333333335,1664.0,1536.0,9,18112,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,60.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,1.0,True,6,37501,765.3265306122449,True,1078.8333333333333,527.4,1410.2222222222222,165.22222222222223,132.08333333333334,49,5446,5363,6499,7452,5693,7015,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_3000/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,40.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,3000,1.0,True,6,161600,3297.9591836734694,False,4522.666666666667,4377.6,4213.333333333333,1813.3333333333333,1680.0,49,33472,21760,29312,25664,23680,23616,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,0.0,True,1,1741,193.44444444444446,True,430.0,0.0,357.6666666666667,66.0,68.5,9,1701,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,100.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,0.0,True,1,21888,2432.0,False,3008.0,0.0,3221.3333333333335,1365.3333333333333,1184.0,9,16768,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,77.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,0.25,True,1,2295,255.0,True,325.0,0.0,514.6666666666666,121.66666666666667,98.0,9,2234,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,90.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,0.25,True,1,21696,2410.6666666666665,False,3456.0,0.0,3136.0,1621.3333333333333,1600.0,9,17728,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,88.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,0.5,True,1,3361,373.44444444444446,True,590.0,0.0,731.3333333333334,180.33333333333334,129.5,9,3325,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,58.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,0.5,True,1,23296,2588.4444444444443,False,2624.0,0.0,3242.6666666666665,2154.6666666666665,2176.0,9,18816,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,51.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,0.75,True,2,8241,484.7647058823529,True,798.0,463.0,832.6666666666666,159.16666666666666,135.75,17,4834,3176,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,58.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,0.75,True,2,52032,3060.705882352941,False,4576.0,4288.0,3136.0,2378.6666666666665,2448.0,17,27136,19392,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,66.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,1.0,True,10,51628,637.3827160493827,True,948.5,653.1111111111111,970.8,237.36666666666667,247.6,81,3888,5289,5619,5761,8092,6791,3644,3315,6686,2523
experiments/results/ttc_scaling_20260125_050451/gpt-5.2-high_vs_gpt-5-nano/strong_first/budget_30000/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,34.0,gpt-5.2-high_vs_gpt-5-nano,strong_first,30000,1.0,True,10,275136,3396.740740740741,False,4377.6,4401.777777777777,4083.2,2126.9333333333334,2038.4,81,25664,32896,26432,25280,29056,35136,26752,22656,32640,13184
