adversary_model,adversary_elo,adversary_short,model_order,run_id,rho,theta,competition_index,baseline_utility,adversary_utility,social_welfare,payoff_diff,util_ratio,consensus_reached,final_round
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,2
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
amazon-nova-pro-v1.0,0,amazon-nova-pro-v1.0,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-3-haiku-20240307,0,claude-3-haiku-20240307,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,4
claude-haiku-4-5-20251001,0,claude-haiku-4-5-20251001,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,3
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101,0,claude-opus-4-5-20251101,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,4
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-5-20251101-thinking-32k,0,claude-opus-4-5-20251101-thinking-32k,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,3
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6,1475,Opus 4.6,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-opus-4-6-thinking,0,claude-opus-4-6-thinking,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,2
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,3
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,2
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,2
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
claude-sonnet-4-20250514,0,claude-sonnet-4-20250514,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,2
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,2
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,strong_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,5
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,inf,1.0,1
command-r-plus-08-2024,0,command-r-plus-08-2024,weak_first,run_1,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,inf,1.0,1
deepseek-r1,1397,DeepSeek-R1,strong_first,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,1.0,1
