experiment_family,game,config_id,proposed_severity,accepted,accepted_severity,result_path
heterogeneous_random,game1,780,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0780_game1_heterogeneous_random_n8_comp_0p75_run02/experiment_results.json
heterogeneous_random,game1,823,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0823_game1_heterogeneous_random_n8_comp_1p0_run03/experiment_results.json
heterogeneous_random,game1,833,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0833_game1_heterogeneous_random_n8_comp_1p0_run13/experiment_results.json
heterogeneous_random,game1,835,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0835_game1_heterogeneous_random_n8_comp_1p0_run15/experiment_results.json
heterogeneous_random,game1,838,literal_zero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0838_game1_heterogeneous_random_n8_comp_1p0_run18/experiment_results.json
heterogeneous_random,game1,840,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0840_game1_heterogeneous_random_n8_comp_1p0_run20/experiment_results.json
heterogeneous_random,game1,991,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0991_game1_heterogeneous_random_n10_comp_0p75_run03/experiment_results.json
heterogeneous_random,game1,994,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0994_game1_heterogeneous_random_n10_comp_0p75_run06/experiment_results.json
heterogeneous_random,game1,1000,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1000_game1_heterogeneous_random_n10_comp_0p75_run12/experiment_results.json
heterogeneous_random,game1,1035,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1035_game1_heterogeneous_random_n10_comp_1p0_run05/experiment_results.json
heterogeneous_random,game1,1036,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1036_game1_heterogeneous_random_n10_comp_1p0_run06/experiment_results.json
heterogeneous_random,game1,1041,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1041_game1_heterogeneous_random_n10_comp_1p0_run11/experiment_results.json
heterogeneous_random,game1,1042,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1042_game1_heterogeneous_random_n10_comp_1p0_run12/experiment_results.json
heterogeneous_random,game1,1045,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1045_game1_heterogeneous_random_n10_comp_1p0_run15/experiment_results.json
heterogeneous_random,game1,1050,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1050_game1_heterogeneous_random_n10_comp_1p0_run20/experiment_results.json
heterogeneous_random,game2,1250,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1250_game2_heterogeneous_random_n4_rho_0p319802274228682_theta_0p2_run10/experiment_results.json
heterogeneous_random,game2,1293,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1293_game2_heterogeneous_random_n4_rho_0p319802274228682_theta_0p8_run11/experiment_results.json
heterogeneous_random,game2,1415,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1415_game2_heterogeneous_random_n6_rho_0p19130568257555955_theta_0p2_run07/experiment_results.json
heterogeneous_random,game2,1417,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1417_game2_heterogeneous_random_n6_rho_0p19130568257555955_theta_0p2_run09/experiment_results.json
heterogeneous_random,game3,2518,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_2518_game3_heterogeneous_random_n8_sigma_0p5_alpha_0p2_run18/experiment_results.json
homogeneous_adversary,game1,606,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0606_game1_homogeneous_adversary_n6_comp_1p0_gemini_2p5_pro_last_seed2/experiment_results.json
homogeneous_adversary,game1,609,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0609_game1_homogeneous_adversary_n6_comp_1p0_gpt_5p4_high_last_seed1/experiment_results.json
homogeneous_adversary,game1,902,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0902_game1_homogeneous_adversary_n10_comp_0p25_gpt_5p4_high_first_seed2/experiment_results.json
homogeneous_adversary,game1,985,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0985_game1_homogeneous_adversary_n10_comp_0p75_gpt_5p4_high_first_seed1/experiment_results.json
homogeneous_adversary,game1,1023,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_1023_game1_homogeneous_adversary_n10_comp_1p0_gemini_2p5_pro_first_seed1/experiment_results.json
homogeneous_adversary,game2,1235,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_1235_game2_homogeneous_adversary_n4_rho_0p319802274228682_theta_0p2_gemini_2p5_pro_last_seed1/experiment_results.json
random_monoculture,game1,107,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0107_game1_n4_comp_0p25_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,108,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0108_game1_n4_comp_0p5_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,112,harmful_nonzero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0112_game1_n6_comp_0p25_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,114,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0114_game1_n6_comp_0p75_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,115,literal_zero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0115_game1_n6_comp_1p0_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,117,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0117_game1_n8_comp_0p25_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,118,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0118_game1_n8_comp_0p5_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,119,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0119_game1_n8_comp_0p75_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,122,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0122_game1_n10_comp_0p25_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,123,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0123_game1_n10_comp_0p5_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,124,literal_zero,true,literal_zero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0124_game1_n10_comp_0p75_gemini_3p1_pro/experiment_results.json
random_monoculture,game1,125,literal_zero,false,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0125_game1_n10_comp_1p0_gemini_3p1_pro/experiment_results.json
random_monoculture,game2,210,harmful_nonzero,true,harmful_nonzero,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_random_monoculture_control_20260628_014357/runs/config_0210_game2_n4_rho_0p319802274228682_theta_0p2_claude_opus_4_6/experiment_results.json
