run_family,game,config_id,n_agents,literal_zero_outsider,winning_proposer_agent,winning_proposer_model,winning_proposer_elo,average_roster_elo,result_path
heterogeneous_random,game1,412,4,False,Agent_1,gpt-5.2-chat-latest-20260210,1478,1456.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0412_game1_heterogeneous_random_n4_comp_1p0_run12/experiment_results.json
heterogeneous_random,game1,571,6,False,Agent_1,gemma-3-27b-it,1365,1353.333,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0571_game1_heterogeneous_random_n6_comp_0p75_run03/experiment_results.json
heterogeneous_random,game1,621,6,False,Agent_6,claude-opus-4-6,1499,1372.833,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0621_game1_heterogeneous_random_n6_comp_1p0_run11/experiment_results.json
heterogeneous_random,game1,627,6,True,Agent_1,gpt-5.2-chat-latest-20260210,1478,1374.5,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0627_game1_heterogeneous_random_n6_comp_1p0_run17/experiment_results.json
heterogeneous_random,game1,629,6,False,Agent_5,claude-opus-4-6-thinking,1504,1408.5,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0629_game1_heterogeneous_random_n6_comp_1p0_run19/experiment_results.json
heterogeneous_random,game1,711,8,False,Agent_3,gemini-3.1-pro,1494,1373.125,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0711_game1_heterogeneous_random_n8_comp_0p25_run17/experiment_results.json
heterogeneous_random,game1,738,8,True,Agent_8,gpt-4o-2024-05-13,1345,1352.25,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0738_game1_heterogeneous_random_n8_comp_0p5_run02/experiment_results.json
heterogeneous_random,game1,756,8,True,Agent_5,gpt-5.2-chat-latest-20260210,1478,1384.375,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0756_game1_heterogeneous_random_n8_comp_0p5_run20/experiment_results.json
heterogeneous_random,game1,780,8,False,Agent_7,deepseek-r1-0528,1422,1365.375,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0780_game1_heterogeneous_random_n8_comp_0p75_run02/experiment_results.json
heterogeneous_random,game1,833,8,False,Agent_1,claude-opus-4-5-20251101,1468,1366.625,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0833_game1_heterogeneous_random_n8_comp_1p0_run13/experiment_results.json
heterogeneous_random,game1,835,8,False,Agent_8,claude-opus-4-5-20251101-thinking-32k,1474,1361.875,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0835_game1_heterogeneous_random_n8_comp_1p0_run15/experiment_results.json
heterogeneous_random,game1,838,8,False,Agent_6,gemini-2.5-pro,1448,1394.375,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0838_game1_heterogeneous_random_n8_comp_1p0_run18/experiment_results.json
heterogeneous_random,game1,991,10,False,Agent_8,claude-sonnet-4-20250514,1389,1375.2,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_0991_game1_heterogeneous_random_n10_comp_0p75_run03/experiment_results.json
heterogeneous_random,game1,1000,10,False,Agent_2,gemini-2.5-pro,1448,1390.3,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1000_game1_heterogeneous_random_n10_comp_0p75_run12/experiment_results.json
heterogeneous_random,game1,1042,10,True,Agent_6,gpt-5.2-chat-latest-20260210,1478,1394.0,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1042_game1_heterogeneous_random_n10_comp_1p0_run12/experiment_results.json
heterogeneous_random,game2,1417,6,False,Agent_2,gpt-5.2-chat-latest-20260210,1478,1377.5,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_1417_game2_heterogeneous_random_n6_rho_0p19130568257555955_theta_0p2_run09/experiment_results.json
heterogeneous_random,game3,2518,8,False,Agent_1,amazon-nova-micro-v1.0,1240,1402.375,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848/runs/config_2518_game3_heterogeneous_random_n8_sigma_0p5_alpha_0p2_run18/experiment_results.json
homogeneous_adversary,game1,609,6,False,Agent_6,gpt-5.4-high,1484,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0609_game1_homogeneous_adversary_n6_comp_1p0_gpt_5p4_high_last_seed1/experiment_results.json
homogeneous_adversary,game1,902,10,True,Agent_1,gpt-5.4-high,1484,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0902_game1_homogeneous_adversary_n10_comp_0p25_gpt_5p4_high_first_seed2/experiment_results.json
homogeneous_adversary,game1,985,10,True,Agent_1,gpt-5.4-high,1484,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_0985_game1_homogeneous_adversary_n10_comp_0p75_gpt_5p4_high_first_seed1/experiment_results.json
homogeneous_adversary,game1,1023,10,False,Agent_1,gemini-2.5-pro,1448,,/scratch/gpfs/DANQIC/jz4391/bargain/experiments/results/full_games123_multiagent_production_20260428_085255/runs/config_1023_game1_homogeneous_adversary_n10_comp_1p0_gemini_2p5_pro_first_seed1/experiment_results.json
