experiment_dir,source_batch,agent_id,is_nonreasoning,utility,model_pair,model_order,token_budget_prompted,competition_level,consensus_reached,final_round,total_tokens_sum,avg_tokens_per_interaction,num_interactions,setup_tokens_avg,thinking_tokens_avg,discussion_tokens_avg,proposal_tokens_avg,voting_tokens_avg,reflection_tokens_avg,round_0_tokens,round_1_tokens,round_2_tokens,round_3_tokens,round_4_tokens,round_5_tokens,round_6_tokens,round_7_tokens,round_8_tokens,round_9_tokens,round_10_tokens
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_500/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,True,80.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,500,1.0,True,10,102692,1283.65,81,766.5,1201.4,2016.4,644.1034482758621,0,1108.2222222222222,1533,10630,9790,10270,10519,9858,10602,9931,9817,10852,8890
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_500/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,False,20.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,500,1.0,True,10,389792,4812.246913580247,81,2755.0,4837.6,7365.766666666666,2269.6,0,5205.0,5510,49960,38128,34834,40395,44367,38697,32528,34903,41241,29229
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_5000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,True,73.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,5000,1.0,True,10,171300,2141.25,81,732.0,1870.7,3836.5333333333333,642.6551724137931,0,1932.888888888889,1464,17880,16259,17367,17295,18342,17571,17511,16817,16891,13903
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_5000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,False,27.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,5000,1.0,True,10,443041,5469.641975308642,81,3250.0,5601.6,8223.8,2349.133333333333,0,7037.444444444444,6500,41821,46637,46502,45538,44497,47779,38999,48041,45617,31110
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,False,61.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,1000,1.0,True,9,320491,4390.287671232877,73,2476.5,4885.111111111111,6311.740740740741,2118.3703703703704,0,5494.875,4953,31371,35064,33375,31465,33197,32812,39116,32972,46166,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_1000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,True,39.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,1000,1.0,True,9,141212,1961.2777777777778,73,750.5,1375.111111111111,3703.5925925925926,643.8076923076923,0,1324.875,1501,15205,17028,15950,14793,17789,15398,14387,15344,13817,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,False,10.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,10000,1.0,True,10,420504,5191.407407407408,81,2635.5,5355.8,8040.3,2016.1666666666667,0,6664.555555555556,5271,48830,40020,47729,39193,37116,49562,42725,40452,42811,26795
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_10000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,True,90.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,10000,1.0,True,10,259259,3200.7283950617284,81,773.0,2167.4,6586.233333333334,641.2333333333333,0,2135.0,1546,27255,18686,30311,25171,26555,29954,22961,32190,27592,17038
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,False,26.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,3000,1.0,True,9,367061,5028.232876712329,73,2049.5,5399.666666666667,7480.925925925926,2216.037037037037,0,6568.375,4099,36375,48939,35889,40976,37354,41248,45323,45964,30894,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_3000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,True,74.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,3000,1.0,True,9,179818,2463.2602739726026,73,793.0,1748.888888888889,4869.111111111111,647.3703703703703,0,1693.375,1586,19166,20171,18871,18647,20683,24849,18709,20846,16290,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_500/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,False,31.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,500,1.0,True,10,353315,4361.913580246914,81,3217.5,4422.8,6346.2,2076.866666666667,0,5551.111111111111,6435,37568,44474,31946,37842,38800,26929,32058,35933,35172,26158
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_500/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,True,69.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,500,1.0,True,10,130056,1605.6296296296296,81,746.5,1180.0,2918.0,651.0,0,1077.0,1493,12975,13287,13088,12489,13495,12488,12449,14792,12508,10992
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_5000/comp_1_0,ttc_scaling_20260124_222356,Agent_Alpha,False,26.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,5000,1.0,True,1,35841,3982.3333333333335,9,2687.5,4882.0,6822.0,1706.0,0,0.0,5375,30466,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_222356/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_5000/comp_1_0,ttc_scaling_20260124_222356,Agent_Beta,True,74.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,5000,1.0,True,1,18659,2073.222222222222,9,788.0,1743.0,4484.0,629.3333333333334,0,0.0,1576,17083,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_20000/comp_1_0,ttc_scaling_20260124_224426,Agent_Alpha,True,91.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,20000,1.0,True,10,223259,2756.283950617284,81,797.0,2138.4,5016.7,646.1,0,3377.4444444444443,1594,25338,20896,20604,22655,24260,17480,27237,23609,22149,17437
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_20000/comp_1_0,ttc_scaling_20260124_224426,Agent_Beta,False,9.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,20000,1.0,True,10,459676,5675.0123456790125,81,3589.0,5729.9,9210.233333333334,2219.8,0,5810.888888888889,7178,50939,52378,43370,45574,36841,47512,45252,46231,45557,38844
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_30000/comp_1_0,ttc_scaling_20260124_224426,Agent_Alpha,True,85.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,30000,1.0,True,10,223834,2763.382716049383,81,765.5,2316.0,5249.2,647.7333333333333,0,2470.5555555555557,1531,24176,21667,22199,21432,23197,23487,24865,24112,19504,17664
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/strong_first/budget_30000/comp_1_0,ttc_scaling_20260124_224426,Agent_Beta,False,15.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,strong_first,30000,1.0,True,10,464968,5740.3456790123455,81,1715.0,4757.5,9777.933333333332,2445.7,0,5250.444444444444,3430,55608,38498,43728,50653,53237,41115,48588,52578,45175,32358
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_20000/comp_1_0,ttc_scaling_20260124_224426,Agent_Alpha,False,38.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,20000,1.0,True,4,169201,5127.30303030303,33,2512.5,6261.25,7695.333333333333,2338.9166666666665,0,6240.0,5025,36819,45152,42885,39320,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_20000/comp_1_0,ttc_scaling_20260124_224426,Agent_Beta,True,62.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,20000,1.0,True,4,113976,3561.75,33,796.0,2597.5,6859.416666666667,644.2727272727273,0,4198.0,1592,27044,27845,31664,25831,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_30000/comp_1_0,ttc_scaling_20260124_224426,Agent_Alpha,False,27.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,30000,1.0,True,1,41365,4596.111111111111,9,3278.5,3646.0,8204.666666666666,2182.6666666666665,0,0.0,6557,34808,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260124_224426/claude-opus-4-5-thinking-32k_vs_gpt-5-nano/weak_first/budget_30000/comp_1_0,ttc_scaling_20260124_224426,Agent_Beta,True,73.0,claude-opus-4-5-thinking-32k_vs_gpt-5-nano,weak_first,30000,1.0,True,1,35364,3929.3333333333335,9,805.5,2520.0,9771.666666666666,639.3333333333334,0,0.0,1611,33753,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,True,100.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,0.0,True,1,13291,2215.1666666666665,9,2170.0,2191.0,2253.3333333333335,0.0,0,0.0,4340,8951,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,False,100.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,0.0,True,1,30094,3343.777777777778,9,2225.5,3622.0,5329.666666666667,2010.6666666666667,0,0.0,4451,25643,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,True,82.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,0.25,True,1,19156,3192.6666666666665,9,3916.0,1870.0,3151.3333333333335,0.0,0,0.0,7832,11324,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,False,80.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,0.25,True,1,36167,4018.5555555555557,9,2311.0,4040.0,6629.0,2539.3333333333335,0,0.0,4622,31545,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,True,69.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,0.5,True,1,20726,3454.3333333333335,9,2159.5,2028.0,4793.0,0.0,0,0.0,4319,16407,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,False,85.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,0.5,True,1,42564,4729.333333333333,9,3024.0,7487.0,7781.333333333333,1895.0,0,0.0,6048,36516,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,True,73.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,0.75,True,1,17028,2838.0,9,3982.0,2564.0,2166.6666666666665,0.0,0,0.0,7964,9064,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,False,41.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,0.75,True,1,49428,5492.0,9,3419.0,3366.0,9065.666666666666,4009.0,0,0.0,6838,42590,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,True,63.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,1.0,True,3,59459,3716.1875,25,2819.5,2757.0,4525.555555555556,0.0,0,2409.5,5639,18207,23086,12527,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_100/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,False,37.0,QwQ-32B_vs_gpt-5-nano,strong_first,100,1.0,True,3,127606,5104.24,25,2844.0,4930.333333333333,8438.777777777777,2392.222222222222,0,4824.0,5688,42677,40474,38767,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,True,100.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,0.0,True,1,20438,3406.3333333333335,9,2868.0,2491.0,4070.3333333333335,0.0,0,0.0,5736,14702,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,False,100.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,0.0,True,1,40102,4455.777777777777,9,3624.5,4641.0,7514.333333333333,1889.6666666666667,0,0.0,7249,32853,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,True,80.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,0.25,True,1,25763,4293.833333333333,9,3521.0,3319.0,5134.0,0.0,0,0.0,7042,18721,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,False,90.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,0.25,True,1,46663,5184.777777777777,9,1886.0,5321.0,9541.666666666666,2981.6666666666665,0,0.0,3772,42891,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,True,89.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,0.5,True,1,23209,3868.1666666666665,9,3557.0,2295.0,4600.0,0.0,0,0.0,7114,16095,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,False,66.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,0.5,True,1,43476,4830.666666666667,9,2524.5,6837.0,9003.0,1527.0,0,0.0,5049,38427,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,True,73.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,0.75,True,1,22688,3781.3333333333335,9,3499.0,4382.0,3769.3333333333335,0.0,0,0.0,6998,15690,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,False,65.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,0.75,True,1,47708,5300.888888888889,9,3539.5,6976.0,9278.0,1939.6666666666667,0,0.0,7079,40629,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,True,84.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,1.0,True,9,245110,5328.478260869565,73,3135.5,4368.333333333333,5935.962962962963,0.0,0,4906.625,6271,26238,28740,23725,27533,28219,26201,29992,26369,21822,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_1000/comp_1_0,ttc_scaling_20260125_050451,Agent_Beta,False,16.0,QwQ-32B_vs_gpt-5-nano,strong_first,1000,1.0,True,9,433811,5942.6164383561645,73,3140.5,5853.111111111111,10132.407407407407,2174.1111111111113,0,5322.0,6281,42043,59007,41305,53392,49583,42312,54165,42553,43170,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_10000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,True,100.0,QwQ-32B_vs_gpt-5-nano,strong_first,10000,0.0,True,1,15707,2617.8333333333335,9,1841.0,3919.0,2702.0,0.0,0,0.0,3682,12025,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_10000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,False,100.0,QwQ-32B_vs_gpt-5-nano,strong_first,10000,0.0,True,1,30498,3388.6666666666665,9,2655.0,3882.0,5539.666666666667,1562.3333333333333,0,0.0,5310,25188,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_10000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,True,90.0,QwQ-32B_vs_gpt-5-nano,strong_first,10000,0.25,True,1,28622,4770.333333333333,9,4296.0,3424.0,5535.333333333333,0.0,0,0.0,8592,20030,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_10000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,False,73.0,QwQ-32B_vs_gpt-5-nano,strong_first,10000,0.25,True,1,50797,5644.111111111111,9,3276.5,3408.0,11603.0,2009.0,0,0.0,6553,44244,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_0_0,ttc_scaling_20260125_050451,Agent_Alpha,True,100.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,0.0,True,1,17736,2956.0,9,1766.0,3914.0,3430.0,0.0,0,0.0,3532,14204,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_0_0,ttc_scaling_20260125_050451,Agent_Beta,False,100.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,0.0,True,1,41953,4661.444444444444,9,3098.5,5602.0,7399.0,2652.3333333333335,0,0.0,6197,35756,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_0_25,ttc_scaling_20260125_050451,Agent_Alpha,True,76.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,0.25,True,1,25293,4215.5,9,2969.0,3660.0,5231.666666666667,0.0,0,0.0,5938,19355,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_0_25,ttc_scaling_20260125_050451,Agent_Beta,False,94.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,0.25,True,1,42131,4681.222222222223,9,2980.5,3703.0,8604.333333333334,2218.0,0,0.0,5961,36170,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_0_5,ttc_scaling_20260125_050451,Agent_Alpha,True,68.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,0.5,True,1,20244,3374.0,9,2140.5,2403.0,4520.0,0.0,0,0.0,4281,15963,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_0_5,ttc_scaling_20260125_050451,Agent_Beta,False,86.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,0.5,True,1,34555,3839.4444444444443,9,2654.0,5426.0,6416.666666666667,1523.6666666666667,0,0.0,5308,29247,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_0_75,ttc_scaling_20260125_050451,Agent_Alpha,True,71.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,0.75,True,1,38323,6387.166666666667,9,3874.5,5684.0,8296.666666666666,0.0,0,0.0,7749,30574,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_0_75,ttc_scaling_20260125_050451,Agent_Beta,False,55.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,0.75,True,1,65220,7246.666666666667,9,2052.0,3906.0,16748.666666666668,2321.3333333333335,0,0.0,4104,61116,0,0,0,0,0,0,0,0,0
experiments/results/ttc_scaling_20260125_050451/QwQ-32B_vs_gpt-5-nano/strong_first/budget_2000/comp_1_0,ttc_scaling_20260125_050451,Agent_Alpha,True,87.0,QwQ-32B_vs_gpt-5-nano,strong_first,2000,1.0,True,10,301327,5908.3725490196075,81,3949.0,5060.4,6370.5,0.0,0,5745.555555555556,7898,33956,26903,26646,29251,29949,33085,29715,27742,32574,23608
