competition_value,competition_curve_label,adversary_model,adversary_short,adversary_elo,num_runs,avg_baseline_utility,std_baseline_utility
0.4,CI3=0.4,command-r-plus-08-2024,Command R+,1276,4,14.233502500000002,13.94034998449174
0.4,CI3=0.4,amazon-nova-pro-v1.0,Nova Pro,1290,4,18.636557500000002,9.462981692226753
0.4,CI3=0.4,qwen2.5-72b-instruct,Qwen2.5 72B,1302,4,21.075,8.559607175565944
0.4,CI3=0.4,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,4,18.1915,17.865604292886374
0.4,CI3=0.4,llama-3.3-70b-instruct,Llama 3.3 70B,1318,4,16.47175,8.899421002936089
0.4,CI3=0.4,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,4,1.5,2.598076211353316
0.4,CI3=0.4,qwq-32b,QwQ-32B,1336,4,25.75,27.224758952100935
0.4,CI3=0.4,gpt-4o-2024-05-13,GPT-4o,1345,4,24.6,20.54945254745245
0.4,CI3=0.4,deepseek-v3,DeepSeek V3,1358,4,22.375,15.91137564763022
0.4,CI3=0.4,o3-mini-high,o3-mini-high,1363,4,28.7575,20.24937823119515
0.4,CI3=0.4,gemma-3-27b-it,Gemma 3 27B,1365,4,24.675,25.991476968421786
0.4,CI3=0.4,claude-sonnet-4-20250514,Sonnet 4,1389,4,33.91,18.32040665487532
0.4,CI3=0.4,deepseek-r1,DeepSeek R1,1398,4,18.46375,12.548730700254112
0.4,CI3=0.4,claude-haiku-4-5-20251001,Haiku 4.5,1407,4,25.476000000000003,12.075207575855583
0.4,CI3=0.4,deepseek-r1-0528,DeepSeek R1-0528,1422,4,17.298000000000002,2.1669637745010872
0.4,CI3=0.4,qwen3-max-preview,Qwen3 Max,1435,4,30.450000000000003,8.996249218424312
0.4,CI3=0.4,gemini-2.5-pro,Gemini 2.5 Pro,1448,4,15.601500000000001,14.854763099760293
0.4,CI3=0.4,claude-opus-4-5-20251101,Opus 4.5,1468,4,16.91582325,31.467930882223914
0.4,CI3=0.4,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,4,27.1,10.215918950344115
0.4,CI3=0.4,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,4,23.31125,14.664485319556904
0.4,CI3=0.4,gpt-5.4-high,GPT-5.4 High,1484,4,36.955,19.86746272174683
0.4,CI3=0.4,gemini-3-pro,Gemini 3 Pro,1486,4,34.050025000000005,15.881503156246737
0.4,CI3=0.4,claude-opus-4-6,Opus 4.6,1499,4,17.725,24.7098538036954
0.4,CI3=0.4,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,4,23.437450000000002,15.950820715797041
0.8,CI3=0.8,llama-3.2-1b-instruct,Llama 3.2 1B,1110,2,0.0,0.0
0.8,CI3=0.8,llama-3.2-3b-instruct,Llama 3.2 3B,1166,2,0.0,0.0
0.8,CI3=0.8,llama-3.1-8b-instruct,Llama 3.1 8B,1211,2,53.865,17.415
0.8,CI3=0.8,amazon-nova-micro-v1.0,Nova Micro,1240,2,0.0,0.0
0.8,CI3=0.8,claude-3-haiku-20240307,Claude 3 Haiku,1260,2,-3.0,3.0
0.8,CI3=0.8,command-r-plus-08-2024,Command R+,1276,2,6.0,6.0
0.8,CI3=0.8,amazon-nova-pro-v1.0,Nova Pro,1290,2,15.5,15.5
0.8,CI3=0.8,qwen2.5-72b-instruct,Qwen2.5 72B,1302,2,1.5,1.5
0.8,CI3=0.8,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,2,-3.60855,3.60855
0.8,CI3=0.8,llama-3.3-70b-instruct,Llama 3.3 70B,1318,2,35.550000000000004,35.550000000000004
0.8,CI3=0.8,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,2,0.0,0.0
0.8,CI3=0.8,qwq-32b,QwQ-32B,1336,2,-1.9371024450000005,1.9371024450000005
0.8,CI3=0.8,gpt-4o-2024-05-13,GPT-4o,1345,2,54.1845,9.715499999999995
0.8,CI3=0.8,deepseek-v3,DeepSeek V3,1358,2,0.0,0.0
0.8,CI3=0.8,o3-mini-high,o3-mini-high,1363,2,0.0,0.0
0.8,CI3=0.8,gemma-3-27b-it,Gemma 3 27B,1365,2,24.705000000000002,24.705000000000002
0.8,CI3=0.8,claude-sonnet-4-20250514,Sonnet 4,1389,2,20.25,20.25
0.8,CI3=0.8,deepseek-r1,DeepSeek R1,1398,2,0.0,0.0
0.8,CI3=0.8,claude-haiku-4-5-20251001,Haiku 4.5,1407,2,16.650000000000002,16.650000000000002
0.8,CI3=0.8,deepseek-r1-0528,DeepSeek R1-0528,1422,2,0.0,0.0
0.8,CI3=0.8,qwen3-max-preview,Qwen3 Max,1435,2,3.6,3.6
0.8,CI3=0.8,gemini-2.5-pro,Gemini 2.5 Pro,1448,2,0.0,0.0
0.8,CI3=0.8,claude-opus-4-5-20251101,Opus 4.5,1468,2,5.2488,5.2488
0.8,CI3=0.8,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,2,-3.6,3.6
0.8,CI3=0.8,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,2,0.0,0.0
0.8,CI3=0.8,gpt-5.4-high,GPT-5.4 High,1484,2,-4.455,4.455
0.8,CI3=0.8,gemini-3-pro,Gemini 3 Pro,1486,2,-1.1809800000000001,1.1809800000000001
0.8,CI3=0.8,claude-opus-4-6,Opus 4.6,1499,2,15.795000000000002,15.795000000000002
0.8,CI3=0.8,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,2,0.0,0.0
