experiment_group,config_id,run_name,game,n_agents,json_errors
homogeneous,1017,config_1017_game1_homogeneous_adversary_n10_comp_1p0_gpt_4o_mini_2024_07_18_last_seed1,game1,10,4
homogeneous,2406,config_2406_game3_homogeneous_adversary_n8_sigma_0p2_alpha_0p2_claude_sonnet_4_20250514_first_seed2,game3,8,4
homogeneous,2438,config_2438_game3_homogeneous_control_n8_sigma_0p2_alpha_0p8_seed2,game3,8,4
homogeneous,2448,config_2448_game3_homogeneous_adversary_n8_sigma_0p2_alpha_0p8_claude_sonnet_4_20250514_first_seed2,game3,8,4
homogeneous,2482,config_2482_game3_homogeneous_adversary_n8_sigma_0p5_alpha_0p2_amazon_nova_micro_v1p0_first_seed2,game3,8,4
homogeneous,2565,config_2565_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p2_amazon_nova_micro_v1p0_first_seed1,game3,10,4
homogeneous,2567,config_2567_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p2_amazon_nova_micro_v1p0_last_seed1,game3,10,4
homogeneous,2573,config_2573_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p2_claude_sonnet_4_20250514_first_seed1,game3,10,4
heterogeneous,336,config_0336_game1_heterogeneous_random_n4_comp_0p5_run20,game1,4,3
heterogeneous,359,config_0359_game1_heterogeneous_random_n4_comp_0p75_run01,game1,4,3
heterogeneous,415,config_0415_game1_heterogeneous_random_n4_comp_1p0_run15,game1,4,3
heterogeneous,417,config_0417_game1_heterogeneous_random_n4_comp_1p0_run17,game1,4,3
heterogeneous,419,config_0419_game1_heterogeneous_random_n4_comp_1p0_run19,game1,4,3
heterogeneous,462,config_0462_game1_heterogeneous_random_n6_comp_0p0_run20,game1,6,3
heterogeneous,492,config_0492_game1_heterogeneous_random_n6_comp_0p25_run08,game1,6,3
heterogeneous,533,config_0533_game1_heterogeneous_random_n6_comp_0p5_run07,game1,6,3
heterogeneous,541,config_0541_game1_heterogeneous_random_n6_comp_0p5_run15,game1,6,3
heterogeneous,546,config_0546_game1_heterogeneous_random_n6_comp_0p5_run20,game1,6,3
heterogeneous,581,config_0581_game1_heterogeneous_random_n6_comp_0p75_run13,game1,6,3
heterogeneous,582,config_0582_game1_heterogeneous_random_n6_comp_0p75_run14,game1,6,3
heterogeneous,583,config_0583_game1_heterogeneous_random_n6_comp_0p75_run15,game1,6,3
heterogeneous,584,config_0584_game1_heterogeneous_random_n6_comp_0p75_run16,game1,6,3
heterogeneous,620,config_0620_game1_heterogeneous_random_n6_comp_1p0_run10,game1,6,3
heterogeneous,627,config_0627_game1_heterogeneous_random_n6_comp_1p0_run17,game1,6,3
heterogeneous,655,config_0655_game1_heterogeneous_random_n8_comp_0p0_run03,game1,8,3
heterogeneous,667,config_0667_game1_heterogeneous_random_n8_comp_0p0_run15,game1,8,3
heterogeneous,698,config_0698_game1_heterogeneous_random_n8_comp_0p25_run04,game1,8,3
heterogeneous,713,config_0713_game1_heterogeneous_random_n8_comp_0p25_run19,game1,8,3
heterogeneous,779,config_0779_game1_heterogeneous_random_n8_comp_0p75_run01,game1,8,3
heterogeneous,790,config_0790_game1_heterogeneous_random_n8_comp_0p75_run12,game1,8,3
heterogeneous,794,config_0794_game1_heterogeneous_random_n8_comp_0p75_run16,game1,8,3
heterogeneous,797,config_0797_game1_heterogeneous_random_n8_comp_0p75_run19,game1,8,3
heterogeneous,827,config_0827_game1_heterogeneous_random_n8_comp_1p0_run07,game1,8,3
heterogeneous,839,config_0839_game1_heterogeneous_random_n8_comp_1p0_run19,game1,8,3
heterogeneous,908,config_0908_game1_heterogeneous_random_n10_comp_0p25_run04,game1,10,3
heterogeneous,917,config_0917_game1_heterogeneous_random_n10_comp_0p25_run13,game1,10,3
heterogeneous,949,config_0949_game1_heterogeneous_random_n10_comp_0p5_run03,game1,10,3
heterogeneous,955,config_0955_game1_heterogeneous_random_n10_comp_0p5_run09,game1,10,3
heterogeneous,992,config_0992_game1_heterogeneous_random_n10_comp_0p75_run04,game1,10,3
heterogeneous,1003,config_1003_game1_heterogeneous_random_n10_comp_0p75_run15,game1,10,3
heterogeneous,1031,config_1031_game1_heterogeneous_random_n10_comp_1p0_run01,game1,10,3
heterogeneous,1032,config_1032_game1_heterogeneous_random_n10_comp_1p0_run02,game1,10,3
heterogeneous,1033,config_1033_game1_heterogeneous_random_n10_comp_1p0_run03,game1,10,3
heterogeneous,1037,config_1037_game1_heterogeneous_random_n10_comp_1p0_run07,game1,10,3
heterogeneous,1046,config_1046_game1_heterogeneous_random_n10_comp_1p0_run16,game1,10,3
heterogeneous,1050,config_1050_game1_heterogeneous_random_n10_comp_1p0_run20,game1,10,3
heterogeneous,1250,config_1250_game2_heterogeneous_random_n4_rho_0p319802274228682_theta_0p2_run10,game2,4,3
heterogeneous,1631,config_1631_game2_heterogeneous_random_n8_rho_0p1365347919384111_theta_0p8_run13,game2,8,3
heterogeneous,1714,config_1714_game2_heterogeneous_random_n8_rho_0p9_theta_0p8_run12,game2,8,3
heterogeneous,1842,config_1842_game2_heterogeneous_random_n10_rho_0p9_theta_0p2_run14,game2,10,3
heterogeneous,2084,config_2084_game3_heterogeneous_random_n4_sigma_0p2_alpha_0p2_run04,game3,4,3
heterogeneous,2099,config_2099_game3_heterogeneous_random_n4_sigma_0p2_alpha_0p2_run19,game3,4,3
heterogeneous,2138,config_2138_game3_heterogeneous_random_n4_sigma_0p2_alpha_0p8_run16,game3,4,3
homogeneous,512,config_0512_game1_homogeneous_adversary_n6_comp_0p5_gpt_4o_mini_2024_07_18_first_seed2,game1,6,3
homogeneous,764,config_0764_game1_homogeneous_adversary_n8_comp_0p75_gpt_4o_mini_2024_07_18_first_seed2,game1,8,3
homogeneous,807,config_0807_game1_homogeneous_adversary_n8_comp_1p0_gpt_4o_mini_2024_07_18_last_seed1,game1,8,3
homogeneous,847,config_0847_game1_homogeneous_adversary_n10_comp_0p0_gpt_4o_mini_2024_07_18_first_seed1,game1,10,3
homogeneous,929,config_0929_game1_homogeneous_adversary_n10_comp_0p5_amazon_nova_micro_v1p0_last_seed1,game1,10,3
homogeneous,969,config_0969_game1_homogeneous_adversary_n10_comp_0p75_amazon_nova_micro_v1p0_first_seed1,game1,10,3
homogeneous,1016,config_1016_game1_homogeneous_adversary_n10_comp_1p0_gpt_4o_mini_2024_07_18_first_seed2,game1,10,3
homogeneous,2229,config_2229_game3_homogeneous_adversary_n6_sigma_0p2_alpha_0p2_amazon_nova_micro_v1p0_first_seed1,game3,6,3
homogeneous,2280,config_2280_game3_homogeneous_adversary_n6_sigma_0p2_alpha_0p8_claude_sonnet_4_20250514_first_seed2,game3,6,3
homogeneous,2281,config_2281_game3_homogeneous_adversary_n6_sigma_0p2_alpha_0p8_claude_sonnet_4_20250514_last_seed1,game3,6,3
homogeneous,2441,config_2441_game3_homogeneous_adversary_n8_sigma_0p2_alpha_0p8_amazon_nova_micro_v1p0_last_seed1,game3,8,3
homogeneous,2442,config_2442_game3_homogeneous_adversary_n8_sigma_0p2_alpha_0p8_amazon_nova_micro_v1p0_last_seed2,game3,8,3
homogeneous,2489,config_2489_game3_homogeneous_adversary_n8_sigma_0p5_alpha_0p2_claude_sonnet_4_20250514_first_seed1,game3,8,3
homogeneous,2577,config_2577_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p2_gemini_2p5_pro_first_seed1,game3,10,3
homogeneous,2608,config_2608_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p8_amazon_nova_micro_v1p0_first_seed2,game3,10,3
homogeneous,2609,config_2609_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p8_amazon_nova_micro_v1p0_last_seed1,game3,10,3
homogeneous,2611,config_2611_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p8_gpt_4o_mini_2024_07_18_first_seed1,game3,10,3
homogeneous,2622,config_2622_game3_homogeneous_adversary_n10_sigma_0p2_alpha_0p8_gemini_2p5_pro_last_seed2,game3,10,3
homogeneous,2648,config_2648_game3_homogeneous_control_n10_sigma_0p5_alpha_0p2_seed2,game3,10,3
homogeneous,2654,config_2654_game3_homogeneous_adversary_n10_sigma_0p5_alpha_0p2_gpt_4o_mini_2024_07_18_first_seed2,game3,10,3
heterogeneous,246,config_0246_game1_heterogeneous_random_n4_comp_0p0_run14,game1,4,2
heterogeneous,317,config_0317_game1_heterogeneous_random_n4_comp_0p5_run01,game1,4,2
heterogeneous,330,config_0330_game1_heterogeneous_random_n4_comp_0p5_run14,game1,4,2
heterogeneous,332,config_0332_game1_heterogeneous_random_n4_comp_0p5_run16,game1,4,2
heterogeneous,364,config_0364_game1_heterogeneous_random_n4_comp_0p75_run06,game1,4,2
heterogeneous,368,config_0368_game1_heterogeneous_random_n4_comp_0p75_run10,game1,4,2
heterogeneous,369,config_0369_game1_heterogeneous_random_n4_comp_0p75_run11,game1,4,2
heterogeneous,402,config_0402_game1_heterogeneous_random_n4_comp_1p0_run02,game1,4,2
heterogeneous,404,config_0404_game1_heterogeneous_random_n4_comp_1p0_run04,game1,4,2
heterogeneous,410,config_0410_game1_heterogeneous_random_n4_comp_1p0_run10,game1,4,2
heterogeneous,451,config_0451_game1_heterogeneous_random_n6_comp_0p0_run09,game1,6,2
heterogeneous,453,config_0453_game1_heterogeneous_random_n6_comp_0p0_run11,game1,6,2
heterogeneous,460,config_0460_game1_heterogeneous_random_n6_comp_0p0_run18,game1,6,2
heterogeneous,494,config_0494_game1_heterogeneous_random_n6_comp_0p25_run10,game1,6,2
heterogeneous,496,config_0496_game1_heterogeneous_random_n6_comp_0p25_run12,game1,6,2
heterogeneous,527,config_0527_game1_heterogeneous_random_n6_comp_0p5_run01,game1,6,2
heterogeneous,531,config_0531_game1_heterogeneous_random_n6_comp_0p5_run05,game1,6,2
heterogeneous,539,config_0539_game1_heterogeneous_random_n6_comp_0p5_run13,game1,6,2
heterogeneous,540,config_0540_game1_heterogeneous_random_n6_comp_0p5_run14,game1,6,2
heterogeneous,543,config_0543_game1_heterogeneous_random_n6_comp_0p5_run17,game1,6,2
heterogeneous,576,config_0576_game1_heterogeneous_random_n6_comp_0p75_run08,game1,6,2
heterogeneous,612,config_0612_game1_heterogeneous_random_n6_comp_1p0_run02,game1,6,2
heterogeneous,613,config_0613_game1_heterogeneous_random_n6_comp_1p0_run03,game1,6,2
heterogeneous,630,config_0630_game1_heterogeneous_random_n6_comp_1p0_run20,game1,6,2
heterogeneous,653,config_0653_game1_heterogeneous_random_n8_comp_0p0_run01,game1,8,2
heterogeneous,662,config_0662_game1_heterogeneous_random_n8_comp_0p0_run10,game1,8,2
heterogeneous,668,config_0668_game1_heterogeneous_random_n8_comp_0p0_run16,game1,8,2
heterogeneous,671,config_0671_game1_heterogeneous_random_n8_comp_0p0_run19,game1,8,2
heterogeneous,672,config_0672_game1_heterogeneous_random_n8_comp_0p0_run20,game1,8,2
heterogeneous,696,config_0696_game1_heterogeneous_random_n8_comp_0p25_run02,game1,8,2
heterogeneous,699,config_0699_game1_heterogeneous_random_n8_comp_0p25_run05,game1,8,2
heterogeneous,703,config_0703_game1_heterogeneous_random_n8_comp_0p25_run09,game1,8,2
heterogeneous,704,config_0704_game1_heterogeneous_random_n8_comp_0p25_run10,game1,8,2
heterogeneous,706,config_0706_game1_heterogeneous_random_n8_comp_0p25_run12,game1,8,2
heterogeneous,709,config_0709_game1_heterogeneous_random_n8_comp_0p25_run15,game1,8,2
heterogeneous,712,config_0712_game1_heterogeneous_random_n8_comp_0p25_run18,game1,8,2
heterogeneous,753,config_0753_game1_heterogeneous_random_n8_comp_0p5_run17,game1,8,2
heterogeneous,754,config_0754_game1_heterogeneous_random_n8_comp_0p5_run18,game1,8,2
heterogeneous,755,config_0755_game1_heterogeneous_random_n8_comp_0p5_run19,game1,8,2
heterogeneous,781,config_0781_game1_heterogeneous_random_n8_comp_0p75_run03,game1,8,2
heterogeneous,783,config_0783_game1_heterogeneous_random_n8_comp_0p75_run05,game1,8,2
heterogeneous,788,config_0788_game1_heterogeneous_random_n8_comp_0p75_run10,game1,8,2
heterogeneous,791,config_0791_game1_heterogeneous_random_n8_comp_0p75_run13,game1,8,2
heterogeneous,796,config_0796_game1_heterogeneous_random_n8_comp_0p75_run18,game1,8,2
heterogeneous,821,config_0821_game1_heterogeneous_random_n8_comp_1p0_run01,game1,8,2
heterogeneous,829,config_0829_game1_heterogeneous_random_n8_comp_1p0_run09,game1,8,2
heterogeneous,831,config_0831_game1_heterogeneous_random_n8_comp_1p0_run11,game1,8,2
heterogeneous,833,config_0833_game1_heterogeneous_random_n8_comp_1p0_run13,game1,8,2
heterogeneous,836,config_0836_game1_heterogeneous_random_n8_comp_1p0_run16,game1,8,2
heterogeneous,837,config_0837_game1_heterogeneous_random_n8_comp_1p0_run17,game1,8,2
heterogeneous,838,config_0838_game1_heterogeneous_random_n8_comp_1p0_run18,game1,8,2
heterogeneous,866,config_0866_game1_heterogeneous_random_n10_comp_0p0_run04,game1,10,2
heterogeneous,867,config_0867_game1_heterogeneous_random_n10_comp_0p0_run05,game1,10,2
heterogeneous,906,config_0906_game1_heterogeneous_random_n10_comp_0p25_run02,game1,10,2
heterogeneous,910,config_0910_game1_heterogeneous_random_n10_comp_0p25_run06,game1,10,2
heterogeneous,911,config_0911_game1_heterogeneous_random_n10_comp_0p25_run07,game1,10,2
heterogeneous,914,config_0914_game1_heterogeneous_random_n10_comp_0p25_run10,game1,10,2
heterogeneous,915,config_0915_game1_heterogeneous_random_n10_comp_0p25_run11,game1,10,2
heterogeneous,918,config_0918_game1_heterogeneous_random_n10_comp_0p25_run14,game1,10,2
heterogeneous,919,config_0919_game1_heterogeneous_random_n10_comp_0p25_run15,game1,10,2
heterogeneous,922,config_0922_game1_heterogeneous_random_n10_comp_0p25_run18,game1,10,2
heterogeneous,923,config_0923_game1_heterogeneous_random_n10_comp_0p25_run19,game1,10,2
heterogeneous,924,config_0924_game1_heterogeneous_random_n10_comp_0p25_run20,game1,10,2
heterogeneous,948,config_0948_game1_heterogeneous_random_n10_comp_0p5_run02,game1,10,2
heterogeneous,953,config_0953_game1_heterogeneous_random_n10_comp_0p5_run07,game1,10,2
heterogeneous,956,config_0956_game1_heterogeneous_random_n10_comp_0p5_run10,game1,10,2
heterogeneous,957,config_0957_game1_heterogeneous_random_n10_comp_0p5_run11,game1,10,2
heterogeneous,960,config_0960_game1_heterogeneous_random_n10_comp_0p5_run14,game1,10,2
heterogeneous,962,config_0962_game1_heterogeneous_random_n10_comp_0p5_run16,game1,10,2
heterogeneous,963,config_0963_game1_heterogeneous_random_n10_comp_0p5_run17,game1,10,2
heterogeneous,964,config_0964_game1_heterogeneous_random_n10_comp_0p5_run18,game1,10,2
heterogeneous,966,config_0966_game1_heterogeneous_random_n10_comp_0p5_run20,game1,10,2
heterogeneous,1004,config_1004_game1_heterogeneous_random_n10_comp_0p75_run16,game1,10,2
heterogeneous,1005,config_1005_game1_heterogeneous_random_n10_comp_0p75_run17,game1,10,2
heterogeneous,1045,config_1045_game1_heterogeneous_random_n10_comp_1p0_run15,game1,10,2
heterogeneous,1048,config_1048_game1_heterogeneous_random_n10_comp_1p0_run18,game1,10,2
heterogeneous,1049,config_1049_game1_heterogeneous_random_n10_comp_1p0_run19,game1,10,2
heterogeneous,1242,config_1242_game2_heterogeneous_random_n4_rho_0p319802274228682_theta_0p2_run02,game2,4,2
heterogeneous,1337,config_1337_game2_heterogeneous_random_n4_rho_0p9_theta_0p2_run13,game2,4,2
heterogeneous,1340,config_1340_game2_heterogeneous_random_n4_rho_0p9_theta_0p2_run16,game2,4,2
heterogeneous,1469,config_1469_game2_heterogeneous_random_n6_rho_0p19130568257555955_theta_0p8_run19,game2,6,2
heterogeneous,1508,config_1508_game2_heterogeneous_random_n6_rho_0p9_theta_0p2_run16,game2,6,2
heterogeneous,1619,config_1619_game2_heterogeneous_random_n8_rho_0p1365347919384111_theta_0p8_run01,game2,8,2
heterogeneous,1634,config_1634_game2_heterogeneous_random_n8_rho_0p1365347919384111_theta_0p8_run16,game2,8,2
heterogeneous,1635,config_1635_game2_heterogeneous_random_n8_rho_0p1365347919384111_theta_0p8_run17,game2,8,2
heterogeneous,1661,config_1661_game2_heterogeneous_random_n8_rho_0p9_theta_0p2_run01,game2,8,2
heterogeneous,1716,config_1716_game2_heterogeneous_random_n8_rho_0p9_theta_0p8_run14,game2,8,2
heterogeneous,1757,config_1757_game2_heterogeneous_random_n10_rho_0p10615795122401363_theta_0p2_run13,game2,10,2
heterogeneous,1763,config_1763_game2_heterogeneous_random_n10_rho_0p10615795122401363_theta_0p2_run19,game2,10,2
heterogeneous,1796,config_1796_game2_heterogeneous_random_n10_rho_0p10615795122401363_theta_0p8_run10,game2,10,2
heterogeneous,1805,config_1805_game2_heterogeneous_random_n10_rho_0p10615795122401363_theta_0p8_run19,game2,10,2
heterogeneous,1882,config_1882_game2_heterogeneous_random_n10_rho_0p9_theta_0p8_run12,game2,10,2
heterogeneous,1887,config_1887_game2_heterogeneous_random_n10_rho_0p9_theta_0p8_run17,game2,10,2
heterogeneous,1890,config_1890_game2_heterogeneous_random_n10_rho_0p9_theta_0p8_run20,game2,10,2
heterogeneous,2140,config_2140_game3_heterogeneous_random_n4_sigma_0p2_alpha_0p8_run18,game3,4,2
heterogeneous,2216,config_2216_game3_heterogeneous_random_n4_sigma_0p5_alpha_0p8_run10,game3,4,2
heterogeneous,2218,config_2218_game3_heterogeneous_random_n4_sigma_0p5_alpha_0p8_run12,game3,4,2
heterogeneous,2264,config_2264_game3_heterogeneous_random_n6_sigma_0p2_alpha_0p2_run16,game3,6,2
heterogeneous,2266,config_2266_game3_heterogeneous_random_n6_sigma_0p2_alpha_0p2_run18,game3,6,2
heterogeneous,2291,config_2291_game3_heterogeneous_random_n6_sigma_0p2_alpha_0p8_run01,game3,6,2
heterogeneous,2297,config_2297_game3_heterogeneous_random_n6_sigma_0p2_alpha_0p8_run07,game3,6,2
homogeneous,344,config_0344_game1_homogeneous_adversary_n4_comp_0p75_gpt_4o_mini_2024_07_18_first_seed2,game1,4,2
homogeneous,521,config_0521_game1_homogeneous_adversary_n6_comp_0p5_gemini_2p5_pro_last_seed1,game1,6,2
homogeneous,553,config_0553_game1_homogeneous_adversary_n6_comp_0p75_gpt_4o_mini_2024_07_18_first_seed1,game1,6,2
homogeneous,632,config_0632_game1_homogeneous_control_n8_comp_0p0_seed2,game1,8,2
homogeneous,633,config_0633_game1_homogeneous_adversary_n8_comp_0p0_amazon_nova_micro_v1p0_first_seed1,game1,8,2
homogeneous,681,config_0681_game1_homogeneous_adversary_n8_comp_0p25_gpt_4o_mini_2024_07_18_last_seed1,game1,8,2
homogeneous,682,config_0682_game1_homogeneous_adversary_n8_comp_0p25_gpt_4o_mini_2024_07_18_last_seed2,game1,8,2
homogeneous,757,config_0757_game1_homogeneous_control_n8_comp_0p75_seed1,game1,8,2
homogeneous,765,config_0765_game1_homogeneous_adversary_n8_comp_0p75_gpt_4o_mini_2024_07_18_last_seed1,game1,8,2
homogeneous,805,config_0805_game1_homogeneous_adversary_n8_comp_1p0_gpt_4o_mini_2024_07_18_first_seed1,game1,8,2
homogeneous,816,config_0816_game1_homogeneous_adversary_n8_comp_1p0_gemini_2p5_pro_last_seed2,game1,8,2
homogeneous,884,config_0884_game1_homogeneous_control_n10_comp_0p25_seed2,game1,10,2
homogeneous,895,config_0895_game1_homogeneous_adversary_n10_comp_0p25_claude_sonnet_4_20250514_last_seed1,game1,10,2
homogeneous,936,config_0936_game1_homogeneous_adversary_n10_comp_0p5_claude_sonnet_4_20250514_first_seed2,game1,10,2
homogeneous,937,config_0937_game1_homogeneous_adversary_n10_comp_0p5_claude_sonnet_4_20250514_last_seed1,game1,10,2
homogeneous,971,config_0971_game1_homogeneous_adversary_n10_comp_0p75_amazon_nova_micro_v1p0_last_seed1,game1,10,2
homogeneous,1013,config_1013_game1_homogeneous_adversary_n10_comp_1p0_amazon_nova_micro_v1p0_last_seed1,game1,10,2
homogeneous,1018,config_1018_game1_homogeneous_adversary_n10_comp_1p0_gpt_4o_mini_2024_07_18_last_seed2,game1,10,2
homogeneous,1028,config_1028_game1_homogeneous_adversary_n10_comp_1p0_gpt_5p4_high_first_seed2,game1,10,2
homogeneous,1402,config_1402_game2_homogeneous_adversary_n6_rho_0p19130568257555955_theta_0p2_gemini_2p5_pro_first_seed2,game2,6,2
homogeneous,1403,config_1403_game2_homogeneous_adversary_n6_rho_0p19130568257555955_theta_0p2_gemini_2p5_pro_last_seed1,game2,6,2
homogeneous,1695,config_1695_game2_homogeneous_adversary_n8_rho_0p9_theta_0p8_gemini_2p5_pro_first_seed1,game2,8,2
homogeneous,1776,config_1776_game2_homogeneous_adversary_n10_rho_0p10615795122401363_theta_0p8_claude_sonnet_4_20250514_first_seed2,game2,10,2
homogeneous,1781,config_1781_game2_homogeneous_adversary_n10_rho_0p10615795122401363_theta_0p8_gemini_2p5_pro_last_seed1,game2,10,2
homogeneous,2112,config_2112_game3_homogeneous_adversary_n4_sigma_0p2_alpha_0p8_claude_sonnet_4_20250514_first_seed2,game3,4,2
homogeneous,2202,config_2202_game3_homogeneous_adversary_n4_sigma_0p5_alpha_0p8_gemini_2p5_pro_last_seed2,game3,4,2
homogeneous,2232,config_2232_game3_homogeneous_adversary_n6_sigma_0p2_alpha_0p2_amazon_nova_micro_v1p0_last_seed2,game3,6,2
homogeneous,2242,config_2242_game3_homogeneous_adversary_n6_sigma_0p2_alpha_0p2_gemini_2p5_pro_first_seed2,game3,6,2
homogeneous,2282,config_2282_game3_homogeneous_adversary_n6_sigma_0p2_alpha_0p8_claude_sonnet_4_20250514_last_seed2,game3,6,2
homogeneous,2311,config_2311_game3_homogeneous_control_n6_sigma_0p5_alpha_0p2_seed1,game3,6,2
homogeneous,2313,config_2313_game3_homogeneous_adversary_n6_sigma_0p5_alpha_0p2_amazon_nova_micro_v1p0_first_seed1,game3,6,2
homogeneous,2443,config_2443_game3_homogeneous_adversary_n8_sigma_0p2_alpha_0p8_gpt_4o_mini_2024_07_18_first_seed1,game3,8,2
homogeneous,2480,config_2480_game3_homogeneous_control_n8_sigma_0p5_alpha_0p2_seed2,game3,8,2
homogeneous,2495,config_2495_game3_homogeneous_adversary_n8_sigma_0p5_alpha_0p2_gemini_2p5_pro_last_seed1,game3,8,2
homogeneous,2496,config_2496_game3_homogeneous_adversary_n8_sigma_0p5_alpha_0p2_gemini_2p5_pro_last_seed2,game3,8,2
homogeneous,2528,config_2528_game3_homogeneous_adversary_n8_sigma_0p5_alpha_0p8_gpt_4o_mini_2024_07_18_first_seed2,game3,8,2
homogeneous,2563,config_2563_game3_homogeneous_control_n10_sigma_0p2_alpha_0p2_seed1,game3,10,2
