figure_id,paper_section,tex_source,tex_line,latex_label,graphic_path,resolution_status,sha256,provenance_ref,retention_status,notes
I014,appendix,appendix.tex,421,fig:n2_fairness,graphics/n2_gpt5_nano/11_fairness_distance_overall.png,present,0a3859f356977ed8dbfacf639d435851cd27cf6752997025b0d82237f8f76398,scripts/paper_figures/plot_icml_figure14_fairness_polished.py,retain_pending_appendix_decision,Revised Figure 14 row 1 generated from the 1500 GPT-5-nano primary runs.
I015,appendix,appendix.tex,423,fig:n2_fairness,graphics/n2_gpt5_nano/12_fairness_distance_by_competition.png,present,f78394d25287e0296b141b3f741b51797eb7425e3e5faa0c4940ab070413308c,scripts/paper_figures/plot_icml_figure14_fairness_polished.py,retain_pending_appendix_decision,Revised Figure 14 row 2 generated from the 1500 GPT-5-nano primary runs.
I016,appendix,appendix.tex,425,fig:n2_fairness,graphics/n2_gpt5_nano/13_fairness_excess_by_role_overall.png,present,8248bdfc7346ad4ca1cf2a521215ec664922813e1127292d1583279433b15b73,scripts/paper_figures/plot_icml_figure14_fairness_polished.py,retain_pending_appendix_decision,Revised Figure 14 row 3 preserves the 80 undefined Game 3 no-project outcomes.
I017,appendix,appendix.tex,398,fig:appendix_n2_role_endpoint_fairness,graphics/n2_gpt5_nano/fairness_explanation/baseline_adversary_fair_share_symmetric_percent_endpoints_tall_ewm.png,present,8bec0e0ac0e404dcb872433bb179f96939e887e19bf51e74630d0f09be6e034f,F013,retain_pending_appendix_decision,Shared appendix figure.
I018,appendix,appendix.tex,463,fig:appendix_llama_overall,graphics/appendix_llama/llama33_overall_utility_overlay_1x3.png,present,bcf34e7706a3e705caa3a3ee20cfbe7fedaf13cea873583e8b419a6523f2834a,F014,retain_pending_appendix_decision,Revised Figure 16 combines Games 1--3 into one row with adversary and fixed-baseline utility overlaid in each panel.
I021,appendix,appendix.tex,438,fig:appendix_llama_baseline_payoff,graphics/n2_llama33/03_baseline_payoff_overall.png,present,df7ffe9db31eb7c8eb689844aefb2aca1f3a5447c8dd58e5dfacb84d53c85fdb,F017,retain_pending_appendix_decision,Shared appendix figure.
I022,appendix,appendix.tex,439,fig:appendix_llama_baseline_payoff,graphics/n2_llama33/04_baseline_payoff_by_competition.png,present,aad6001b152d017d809234b726310b9657647212ba6cf4aac40fab1e33c1b07b,F018,retain_pending_appendix_decision,Shared appendix figure.
I023,appendix,appendix.tex,465,fig:ttc_effort,graphics/ttc_full/overall_by_effort_adversary_baseline_combined.png,present,6e199135d375fb4f7442a936a133b3036115c96df46214daa63a564727a0d0d7,F019,retain_pending_appendix_decision,Shared appendix figure.
I024,appendix,appendix.tex,503,fig:appendix_ttc_stage_tokens,graphics/ttc_stage_tokens_by_phase.png,present,ef94a238f04509645a384000dd242f2b03d477bd72a08a5d603b27da88404a45,F021,retain_pending_appendix_decision,Shared appendix figure.
I025,appendix,appendix.tex,522,fig:appendix_n2_baseline_random_pairings,graphics/n_gt_2_report/n2_baseline_vs_heterogeneous_pairings.png,present,90e5bcb49263a15df1b8fe981d8dfa43476a787ae717fa01ee7469da55607c14,F022,retain_pending_appendix_decision,Shared appendix figure.
I026,appendix,appendix.tex,538,fig:appendix_n2_rounds_to_consensus,graphics/n2_gpt5_nano/07_rounds_to_consensus_overall.png,present,6de2d6f84215e7c756a692099b104bcd84cfa0f1656f4d05c9b77eda3372736d,F023,retain_pending_appendix_decision,Shared appendix figure.
I027,appendix,appendix.tex,540,fig:appendix_n2_rounds_to_consensus,graphics/n2_gpt5_nano/08_rounds_to_consensus_by_competition.png,present,3dc446144bdfa355114ade68efdda1354a0e509b36e86efa32edb45d35707b5c,F024,retain_pending_appendix_decision,Shared appendix figure.
I028,appendix,appendix.tex,554,fig:appendix_n2_order,graphics/appendix/bilateral_order_diagnostics_4x3.png,present,b6b1c0739bd60bd20067f2b58827a15aa43e07c95a545430328652d1f5f84fa9,F025,retain_pending_appendix_decision,Shared appendix figure.
I029,appendix,appendix.tex,567,fig:appendix_multiagent_hom_competition,graphics/n_gt_2_report/hom_adversary_payoff_vs_elo_by_competition_3x5.png,present,d759643ad8f6088255b9b0e80535160bfde461c5b9156dc17592030f4107dfb7,F026,retain_pending_appendix_decision,Shared appendix figure.
I030,appendix,appendix.tex,574,fig:appendix_multiagent_hetero_competition,graphics/n_gt_2_report/heterogeneous_payoff_vs_arena_elo_by_competition_3x5.png,present,0580e964969314b80702f324b80b1aeb9d1ddab033a533b6e000011e04becbf6,F027,retain_pending_appendix_decision,Shared appendix figure.
I031,appendix,appendix.tex,588,fig:appendix_multiagent_hetero_payoff_full,graphics/n_gt_2_report/heterogeneous_payoff_vs_arena_elo_by_n.png,present,3fc23a00e614302b6c1f8578bc68c42b1a6d4f1c61a426926c1f56165391a7fd,F028,retain_pending_appendix_decision,Shared appendix figure.
I032,appendix,appendix.tex,595,fig:appendix_multiagent_hom_payoff_full,graphics/n_gt_2_report/hom_adversary_payoff_vs_elo_by_n.png,present,cb8fcb544a4e5dbe482a077289902b17e192057fd055cc6bb8f37a1966c091d6,F029,retain_pending_appendix_decision,Shared appendix figure.
I033,appendix,appendix.tex,602,fig:multiagent_hetero_buckets,graphics/n_gt_2_report/heterogeneous_utility_by_elo_bucket_by_n.png,present,8c3c19c8bf83eaba60ace060e3fd70c9ddae6976594e2c52d08cbce636438b37,F030,retain_pending_appendix_decision,Shared appendix figure.
I034,appendix,appendix.tex,617,fig:multiagent_performance_elo,graphics/n_gt_2_report/heterogeneous_performance_elo_vs_arena_by_game_n.png,present,cda03509802eebf676ed452a7a2710c036fcbea88f38026c4e46cebc28e142b5,F031,retain_pending_appendix_decision,Shared appendix figure.
I035,appendix,appendix.tex,631,fig:appendix_multiagent_dilution,graphics/n_gt_2_report/hom_adversary_dilution_advantage_vs_n.png,present,954300a336c1dafa8fa6d3c98daf51a2874d78489c42c7fe32d98b6cfea30ed7,F032,retain_pending_appendix_decision,Shared appendix figure.
I036,appendix,appendix.tex,633,fig:appendix_multiagent_dilution,graphics/n_gt_2_report/hom_adversary_dilution_z_advantage_by_band.png,present,bd16e895f6e49388abd559f2bc066ea1205ad47252403c0a153a0baf5216aaba,F033,retain_pending_appendix_decision,Shared appendix figure.
I037,appendix,appendix.tex,643,fig:multiagent_gini,graphics/n_gt_2_report/general_shifted_gini_vs_n.png,present,1140d7fc235173cc79f9dca4cf5513556fa954c7eae8a9959752679a9eaa8b40,F036,retain_pending_appendix_decision,Shared appendix figure.
I038,appendix,appendix.tex,653,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_fairness_distance_vs_n.png,present,56321bce46945a739d7313b9d1a71dada2a4e2d1357dd2e8fd11bf9c187b5101,F037,retain_pending_appendix_decision,Shared appendix figure.
I039,appendix,appendix.tex,655,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_utility_gini_vs_n.png,present,b279966bfc8a7807bab389f19a1d6d3b984c5e1200ded4f48814330476cf6124,F038,retain_pending_appendix_decision,Shared appendix figure.
I040,appendix,appendix.tex,657,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_social_welfare_efficiency_vs_n.png,present,238bcd464ab181202bb623dba47ca748328ed6d85f68f66bb502120885a1cef5,F039,retain_pending_appendix_decision,Shared appendix figure.
