root,current_location,classification,paper_manifest_rows,reason
experiments/results/claude-opus-4-6-thinking_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/claude-opus-4-6-thinking_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/codex_n3_smoke_cofunding_20260412,experiments/results/TO_DELETE/codex_n3_smoke_cofunding_20260412,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/codex_n3_smoke_diplomacy_20260412,experiments/results/TO_DELETE/codex_n3_smoke_diplomacy_20260412,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/codex_n3_smoke_item_20260412,experiments/results/TO_DELETE/codex_n3_smoke_item_20260412,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/cofunding_20260223_015029,experiments/results/TO_DELETE/cofunding_20260223_015029,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260223_020445,experiments/results/TO_DELETE/cofunding_20260223_020445,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260223_020534,experiments/results/TO_DELETE/cofunding_20260223_020534,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260223_022431,experiments/results/TO_DELETE/cofunding_20260223_022431,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260223_032155,experiments/results/TO_DELETE/cofunding_20260223_032155,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260223_032239,experiments/results/TO_DELETE/cofunding_20260223_032239,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260303_044439,experiments/results/TO_DELETE/cofunding_20260303_044439,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260303_050954,experiments/results/TO_DELETE/cofunding_20260303_050954,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260303_051016,experiments/results/TO_DELETE/cofunding_20260303_051016,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260303_051031,experiments/results/TO_DELETE/cofunding_20260303_051031,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260303_051151,experiments/results/TO_DELETE/cofunding_20260303_051151,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260303_051538,experiments/results/TO_DELETE/cofunding_20260303_051538,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260303_051731,experiments/results/TO_DELETE/cofunding_20260303_051731,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260303_051947,experiments/results/TO_DELETE/cofunding_20260303_051947,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260304_015517,experiments/results/TO_DELETE/cofunding_20260304_015517,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260304_031023,experiments/results/TO_DELETE/cofunding_20260304_031023,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260316_071259,experiments/results/TO_DELETE/cofunding_20260316_071259,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260316_071418,experiments/results/TO_DELETE/cofunding_20260316_071418,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/cofunding_20260405_044202_reference_slate,experiments/results/TO_DELETE/cofunding_20260405_044202_reference_slate,staged_delete_superseded_stale_reference,0,"Probably superseded, but retained code or documentation still names this root."
experiments/results/cofunding_20260405_051015_reference_slate_7b75fb4,experiments/results/TO_DELETE/cofunding_20260405_051015_reference_slate_7b75fb4,staged_delete_superseded_stale_reference,0,"Probably superseded, but retained code or documentation still names this root."
experiments/results/cofunding_20260405_083548,experiments/results/cofunding_20260405_083548,keep_paper_raw,540,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/cofunding_20260405_083548_cluster_backfill_pli_20260409,experiments/results/TO_DELETE/cofunding_20260405_083548_cluster_backfill_pli_20260409,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/cofunding_20260405_083548_cluster_fallback_20260406,experiments/results/TO_DELETE/cofunding_20260405_083548_cluster_fallback_20260406,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/cofunding_20260405_083548_cluster_fallback_llama31_2x80gb_20260406,experiments/results/TO_DELETE/cofunding_20260405_083548_cluster_fallback_llama31_2x80gb_20260406,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/cofunding_20260405_083548_llama32_1b_plicp_20260411,experiments/results/TO_DELETE/cofunding_20260405_083548_llama32_1b_plicp_20260411,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/cofunding_20260405_game3_derisk32,experiments/results/TO_DELETE/cofunding_20260405_game3_derisk32,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/cofunding_smoke_test,experiments/results/TO_DELETE/cofunding_smoke_test,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/context_json_repair_derisk_20260430_144145,experiments/results/TO_DELETE/context_json_repair_derisk_20260430_144145,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/deepseek-r1_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/deepseek-r1_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/derisk_15_samples_20260427_011428,experiments/results/TO_DELETE/derisk_15_samples_20260427_011428,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/derisk_20260404_050506,experiments/results/TO_DELETE/derisk_20260404_050506,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/derisk_games123_heterogeneous_n5_20260428_020909,experiments/results/TO_DELETE/derisk_games123_heterogeneous_n5_20260428_020909,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/derisk_games123_homogeneous_n4_20260428_014937,experiments/results/TO_DELETE/derisk_games123_homogeneous_n4_20260428_014937,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/derisk_games123_n4_hetero_g23_sonnet_g1_20260428_011955,experiments/results/TO_DELETE/derisk_games123_n4_hetero_g23_sonnet_g1_20260428_011955,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/diplomacy_20260222_001332,experiments/results/TO_DELETE/diplomacy_20260222_001332,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260222_004806,experiments/results/TO_DELETE/diplomacy_20260222_004806,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260222_derisk_test,experiments/results/TO_DELETE/diplomacy_20260222_derisk_test,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/diplomacy_20260223_032151,experiments/results/TO_DELETE/diplomacy_20260223_032151,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260223_032204,experiments/results/TO_DELETE/diplomacy_20260223_032204,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260303_044439,experiments/results/TO_DELETE/diplomacy_20260303_044439,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260303_051033,experiments/results/TO_DELETE/diplomacy_20260303_051033,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260303_051540,experiments/results/TO_DELETE/diplomacy_20260303_051540,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260303_051745,experiments/results/TO_DELETE/diplomacy_20260303_051745,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260303_051949,experiments/results/TO_DELETE/diplomacy_20260303_051949,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260304_015517,experiments/results/TO_DELETE/diplomacy_20260304_015517,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260316_070024,experiments/results/TO_DELETE/diplomacy_20260316_070024,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260316_071347,experiments/results/TO_DELETE/diplomacy_20260316_071347,delete_candidate_old_batch,0,Older dated batch that the verified final roots supersede.
experiments/results/diplomacy_20260404_045332_gpt5nano_vs_gpt52high_rho_n1_theta_0p9_ci0p9_r5_t2_seed42,experiments/results/TO_DELETE/diplomacy_20260404_045332_gpt5nano_vs_gpt52high_rho_n1_theta_0p9_ci0p9_r5_t2_seed42,staged_delete_superseded_stale_reference,0,"Probably superseded, but retained code or documentation still names this root."
experiments/results/diplomacy_20260404_052849,experiments/results/TO_DELETE/diplomacy_20260404_052849,staged_delete_superseded_stale_reference,0,"Probably superseded, but retained code or documentation still names this root."
experiments/results/diplomacy_20260405_074235,experiments/results/TO_DELETE/diplomacy_20260405_074235,staged_delete_superseded_stale_reference,0,"Probably superseded, but retained code or documentation still names this root."
experiments/results/diplomacy_20260405_074417,experiments/results/TO_DELETE/diplomacy_20260405_074417,staged_delete_superseded_stale_reference,0,"Probably superseded, but retained code or documentation still names this root."
experiments/results/diplomacy_20260405_082215,experiments/results/diplomacy_20260405_082215,keep_paper_raw,540,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/excluded_from_paper_20260720,experiments/results/excluded_from_paper_20260720,keep_excluded_provenance,0,Valid and partial Phi-3 Mini data excluded from the paper by scope decision.
experiments/results/diplomacy_20260405_082215_llama32_1b_inplace_plicp_20260411,experiments/results/TO_DELETE/diplomacy_20260405_082215_llama32_1b_inplace_plicp_20260411,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/diplomacy_20260405_082215_llama32_1b_plicp_20260411,experiments/results/TO_DELETE/diplomacy_20260405_082215_llama32_1b_plicp_20260411,staged_delete_operational,0,"Operational, monitoring, backfill, or partial-output data. Review provenance before deletion."
experiments/results/figure_iteration_20260507,experiments/results/figure_iteration_20260507,keep_paper_derived,0,Current paper analysis or figure scripts read this derived output.
experiments/results/figure_iteration_20260626,experiments/results/figure_iteration_20260626,keep_paper_derived,0,Current paper analysis or figure scripts read this derived output.
experiments/results/full_games123_multiagent_20260427_040554,experiments/results/TO_DELETE/full_games123_multiagent_20260427_040554,staged_delete_old_analysis_dependency,0,Two retained clean-subset reports refer to this pre-production root.
experiments/results/full_games123_multiagent_heterogeneous_equal_width_20260429_100859,experiments/results/TO_DELETE/full_games123_multiagent_heterogeneous_equal_width_20260429_100859,delete_candidate_explicit_superseded,0,The run notes identify this root as an aborted pilot. The repaired root is complete.
experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848,experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848,keep_paper_raw,1300,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/full_games123_multiagent_production_20260428_085255,experiments/results/full_games123_multiagent_production_20260428_085255,keep_paper_raw,1430,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/full_games123_random_monoculture_control_20260628_014346,experiments/results/TO_DELETE/full_games123_random_monoculture_control_20260628_014346,delete_candidate_explicit_superseded,0,This root is empty. The 014357 root is complete.
experiments/results/full_games123_random_monoculture_control_20260628_014357,experiments/results/full_games123_random_monoculture_control_20260628_014357,keep_paper_raw,325,"Contains exact result and rollout files listed in the 5,691-run manifest."
experiments/results/game1_multiagent_full_20260413_045538,experiments/results/game1_multiagent_full_20260413_045538,hold_qualitative_dependency,0,The retained game1_position_qualitative report refers to this older raw root.
experiments/results/game1_multiagent_full_test_validation,experiments/results/TO_DELETE/game1_multiagent_full_test_validation,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_multiagent_matrix_sample_20260426_204346,experiments/results/TO_DELETE/game1_multiagent_matrix_sample_20260426_204346,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_multiagent_matrix_sample_slurm_20260426_2132,experiments/results/TO_DELETE/game1_multiagent_matrix_sample_slurm_20260426_2132,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_multiagent_matrix_sample_slurm_backup2_20260427_0406,experiments/results/TO_DELETE/game1_multiagent_matrix_sample_slurm_backup2_20260427_0406,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_multiagent_matrix_sample_slurm_backup_20260426_2313,experiments/results/TO_DELETE/game1_multiagent_matrix_sample_slurm_backup_20260426_2313,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_multiagent_smoke_20260412_211232,experiments/results/TO_DELETE/game1_multiagent_smoke_20260412_211232,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_multiagent_smoke_derisk_tmp,experiments/results/TO_DELETE/game1_multiagent_smoke_derisk_tmp,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_parallel_phase_smoke_20260426_235655,experiments/results/TO_DELETE/game1_parallel_phase_smoke_20260426_235655,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_015041_gpt5nano_vs_gpt52high_comp1p0_seed42,experiments/results/TO_DELETE/game1_sample_20260403_015041_gpt5nano_vs_gpt52high_comp1p0_seed42,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_015400_gpt5nano_vs_gpt52high_comp1p0_seed42_rerun,experiments/results/TO_DELETE/game1_sample_20260403_015400_gpt5nano_vs_gpt52high_comp1p0_seed42_rerun,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_015900_gpt5nano_vs_gpt52high_comp1p0_seed42_fast,experiments/results/TO_DELETE/game1_sample_20260403_015900_gpt5nano_vs_gpt52high_comp1p0_seed42_fast,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_020418_gpt5nano_vs_gpt52high_comp1p0_seed42_oneshot,experiments/results/TO_DELETE/game1_sample_20260403_020418_gpt5nano_vs_gpt52high_comp1p0_seed42_oneshot,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_022107_gpt5nano_vs_gpt52high_comp0p0_seed42_r3_d3,experiments/results/TO_DELETE/game1_sample_20260403_022107_gpt5nano_vs_gpt52high_comp0p0_seed42_r3_d3,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_022645_gpt5nano_vs_gpt52high_comp0p0_seed17_items8_r3_d3,experiments/results/TO_DELETE/game1_sample_20260403_022645_gpt5nano_vs_gpt52high_comp0p0_seed17_items8_r3_d3,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_023234_3gpt_comp0p0_seed42_items6_r3_d3,experiments/results/TO_DELETE/game1_sample_20260403_023234_3gpt_comp0p0_seed42_items6_r3_d3,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_023430_4gpt_comp0p0_seed42_items6_r3_d3,experiments/results/TO_DELETE/game1_sample_20260403_023430_4gpt_comp0p0_seed42_items6_r3_d3,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_032016_2gpt_comp0p0_seed42_items6_r3_d3,experiments/results/TO_DELETE/game1_sample_20260403_032016_2gpt_comp0p0_seed42_items6_r3_d3,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_040632_gpt5nano_vs_gpt52high_comp0p5_r5_t3,experiments/results/TO_DELETE/game1_sample_20260403_040632_gpt5nano_vs_gpt52high_comp0p5_r5_t3,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_041206_gpt5nano_vs_gpt52high_comp0p5_r5_t3_attempt2,experiments/results/TO_DELETE/game1_sample_20260403_041206_gpt5nano_vs_gpt52high_comp0p5_r5_t3_attempt2,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_041753_gpt5nano_vs_gpt52high_comp0p5_r5_t3_items7,experiments/results/TO_DELETE/game1_sample_20260403_041753_gpt5nano_vs_gpt52high_comp0p5_r5_t3_items7,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_042149_gpt5nano_vs_gpt52high_comp0p5_r5_t3_items7_gamma1p0,experiments/results/TO_DELETE/game1_sample_20260403_042149_gpt5nano_vs_gpt52high_comp0p5_r5_t3_items7_gamma1p0,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_042725_gpt5nano_vs_gpt52high_comp0p5_r5_t3_items7_gamma1p0_strongfirst_capped,experiments/results/TO_DELETE/game1_sample_20260403_042725_gpt5nano_vs_gpt52high_comp0p5_r5_t3_items7_gamma1p0_strongfirst_capped,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_043220_gpt5nano_vs_gpt52high_comp0p5_r5_t3_stress_multiround,experiments/results/TO_DELETE/game1_sample_20260403_043220_gpt5nano_vs_gpt52high_comp0p5_r5_t3_stress_multiround,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_044716_gpt5nano_vs_gpt52high_comp0p9_r5_t3,experiments/results/TO_DELETE/game1_sample_20260403_044716_gpt5nano_vs_gpt52high_comp0p9_r5_t3,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_sample_20260403_045834_gpt5nano_vs_gpt52high_comp1p0_r5_t1,experiments/results/TO_DELETE/game1_sample_20260403_045834_gpt5nano_vs_gpt52high_comp1p0_r5_t1,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_ttc_access_matrix_20260427_010142,experiments/results/TO_DELETE/game1_ttc_access_matrix_20260427_010142,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_ttc_access_opus_opus_20260427_025959,experiments/results/TO_DELETE/game1_ttc_access_opus_opus_20260427_025959,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game1_ttc_access_scaling_20260426_234804,experiments/results/TO_DELETE/game1_ttc_access_scaling_20260426_234804,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game2_derisk_32_20260405_073150,experiments/results/TO_DELETE/game2_derisk_32_20260405_073150,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game2_derisk_32_20260405_073353,experiments/results/TO_DELETE/game2_derisk_32_20260405_073353,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game2_derisk_32_dryrun,experiments/results/TO_DELETE/game2_derisk_32_dryrun,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game2_derisk_probe_claude46think,experiments/results/TO_DELETE/game2_derisk_probe_claude46think,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game2_samples_20260426_210906,experiments/results/TO_DELETE/game2_samples_20260426_210906,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game3_multiagent_sample_20260426_211746,experiments/results/TO_DELETE/game3_multiagent_sample_20260426_211746,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game3_multiagent_sample_20260426_213054,experiments/results/TO_DELETE/game3_multiagent_sample_20260426_213054,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game3_multiagent_sample_retry_20260427_0141,experiments/results/TO_DELETE/game3_multiagent_sample_retry_20260427_0141,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game3_multiagent_sample_retry_20260427_0145,experiments/results/TO_DELETE/game3_multiagent_sample_retry_20260427_0145,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/game3_sample_20260405_042303_gpt5nano_vs_haiku45_alpha0p0_sigma0p2_r3_t2,experiments/results/TO_DELETE/game3_sample_20260405_042303_gpt5nano_vs_haiku45_alpha0p0_sigma0p2_r3_t2,delete_candidate_derisk_smoke_sample,0,"Small-scale infrastructure, access, validation, derisk, smoke, or sample run."
experiments/results/gemini-2-5-pro_vs_qwen3-max_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/gemini-2-5-pro_vs_qwen3-max_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gemini-3-pro_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,experiments/results/TO_DELETE/gemini-3-pro_vs_deepseek-r1-0528_config_unknown_runs1_items5_comp0_95,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-high-effort_vs_gpt-5-low-effort_runs5_comp1,experiments/results/TO_DELETE/gpt-5-high-effort_vs_gpt-5-low-effort_runs5_comp1,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-low-effort_vs_gpt-5-high-effort_runs5_comp1,experiments/results/TO_DELETE/gpt-5-low-effort_vs_gpt-5-high-effort_runs5_comp1,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-low-effort_vs_gpt-5-low-effort_runs5_comp1_4,experiments/results/TO_DELETE/gpt-5-low-effort_vs_gpt-5-low-effort_runs5_comp1_4,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-low-effort_vs_gpt-5-medium-effort_runs5_comp1,experiments/results/TO_DELETE/gpt-5-low-effort_vs_gpt-5-medium-effort_runs5_comp1,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-medium-effort_vs_gpt-5-low-effort_runs5_comp1,experiments/results/TO_DELETE/gpt-5-medium-effort_vs_gpt-5-low-effort_runs5_comp1,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
experiments/results/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs10_cofund_proj5_alpha0_0_sigma0_2,experiments/results/TO_DELETE/gpt-5-nano_vs_claude-opus-4-6_config_unknown_runs10_cofund_proj5_alpha0_0_sigma0_2,delete_candidate_one_off,0,One-off comparison that is not in the paper manifest or current analysis.
