figure_id,paper_section,tex_source,tex_line,latex_label,graphic_path,sha256,producer_script,provenance_status,source_inputs,retention_status,notes
F011,appendix,appendix.tex,427,fig:n2_fairness,graphics/n2_gpt5_nano/12_fairness_distance_by_competition.png,1017deda9f03223de28fb5783d7e2ddf986a16a1a6d1bd97a215016685e2ae11,scripts/analyze_n2_baseline_comparison.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain_pending_appendix_decision,Generated in the N2 comparison output and copied into the paper.
F012,appendix,appendix.tex,429,fig:n2_fairness,graphics/n2_gpt5_nano/13_fairness_excess_by_role_overall.png,1fbed8b09f7c0730d8164a85e6340a5d20e14c0b0c4250a5a3058a12e60ebb54,scripts/analyze_n2_baseline_comparison.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain_pending_appendix_decision,Generated in the N2 comparison output and copied into the paper.
F013,appendix,appendix.tex,436,fig:appendix_n2_role_endpoint_fairness,graphics/n2_gpt5_nano/fairness_explanation/baseline_adversary_fair_share_symmetric_percent_endpoints_tall_ewm.png,5a642988eb66c2f56f429afd5a02c6eaefd7c2c4cf493445815df846f8cd9fad,scripts/paper_figures/plot_n2_endpoint_fairness_style_matched_drop_game2_outlier.py,verified,analysis/nash_lindahl_fairness_20260505/agent_metrics.csv;scripts/paper_figures/assets/endpoint_fairness_elo_snapshot.csv,retain_pending_appendix_decision,The fixed Elo snapshot reproduces the saved paper rendering.
F014,appendix,appendix.tex,467,fig:appendix_llama_overall,graphics/appendix_llama/game1_overall_utility_vs_elo.png,d69a36778f38e0e57a62ff4e2c933ae4d8f98d5f6b476905de14542fbbee706d,scripts/analyze_appendix_llama33_baseline_500.py,verified,experiments/results/appendix_llama33_baseline_game1_202605,retain_pending_appendix_decision,Generated in the appendix Llama analysis output and copied into the paper.
F015,appendix,appendix.tex,468,fig:appendix_llama_overall,graphics/appendix_llama/game2_overall_utility_vs_elo.png,e6554b5078f038318b5196fba5a909d1f39ff1342fea638c937d8d092fcac08c,scripts/analyze_appendix_llama33_baseline_500.py,verified,experiments/results/appendix_llama33_baseline_game2_202605,retain_pending_appendix_decision,Generated in the appendix Llama analysis output and copied into the paper.
F016,appendix,appendix.tex,469,fig:appendix_llama_overall,graphics/appendix_llama/game3_overall_utility_vs_elo.png,bf1c48adb99d2e6347f831ce34835a047099bdb4eff36341a08883f8268bac12,scripts/analyze_appendix_llama33_baseline_500.py,verified,experiments/results/appendix_llama33_baseline_game3_202605,retain_pending_appendix_decision,Generated in the appendix Llama analysis output and copied into the paper.
F017,appendix,appendix.tex,476,fig:appendix_llama_baseline_payoff,graphics/n2_llama33/03_baseline_payoff_overall.png,e8bea3b6adf051ccff5b8e228c659fe17fb5f01f258217d2f9a31cb656501ed0,scripts/analyze_n2_baseline_comparison.py,verified,experiments/results/appendix_llama33_baseline_game1_202605;experiments/results/appendix_llama33_baseline_game2_202605;experiments/results/appendix_llama33_baseline_game3_202605,retain_pending_appendix_decision,Generated in the N2 Llama comparison output and copied into the paper.
F018,appendix,appendix.tex,477,fig:appendix_llama_baseline_payoff,graphics/n2_llama33/04_baseline_payoff_by_competition.png,ce722a0f0df78a9ea000fa054d1e14d12c9b984339d6eb471369924278bebffb,scripts/analyze_n2_baseline_comparison.py,verified,experiments/results/appendix_llama33_baseline_game1_202605;experiments/results/appendix_llama33_baseline_game2_202605;experiments/results/appendix_llama33_baseline_game3_202605,retain_pending_appendix_decision,Generated in the N2 Llama comparison output and copied into the paper.
F019,appendix,appendix.tex,503,fig:ttc_effort,graphics/ttc_full/overall_by_effort_adversary_baseline_combined.png,9a7a456d1cff26cd20ceba5b64513cec28b96fb620d4c0eb424a05fee20880b9,scripts/paper_figures/plot_ttc_effort_adversary_baseline.py,verified,experiments/results/ttc_native_scaling_20260502_212943/monitoring/partial_results_latest.csv,retain_pending_appendix_decision,The script writes to the NeurIPS staging tree before the paper copy.
F020,appendix,appendix.tex,510,fig:ttc_intensities,graphics/qualitative_ttc/ttc_group_intensity_fullwidth_2x3_compact.png,f90d1cc1ee326b0736a165c4849c396a8a62caf3a1c225fa58a1e2f9c3aea3a6,scripts/paper_figures/plot_icml_ttc_main_figures.py,verified,analysis/ttc_group_intensity_turn_dedup_verification_20260701/ttc_group_intensity_turn_dedup_summary.csv,retain_pending_appendix_decision,The script writes to the ICML staging tree before the paper copy.
F021,appendix,appendix.tex,548,fig:appendix_ttc_stage_tokens,graphics/ttc_stage_tokens_by_phase.png,170e31a95b31dae4109d2a11b2aa1e5826293ff9ca0dbaa62c33d17cfb3a231f,scripts/analyze_neurips_revision_stats.py,verified,experiments/results/ttc_native_scaling_20260502_212943,retain_pending_appendix_decision,Generated in the NeurIPS revision analysis and copied into the paper.
F022,appendix,appendix.tex,567,fig:appendix_n2_baseline_random_pairings,graphics/n_gt_2_report/n2_baseline_vs_heterogeneous_pairings.png,c86d14d14063a411c881bf43e4f8e621d20450327d3fe37b35397f0650678c08,scripts/analyze_n2_plus_multiagent_comparison.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv;experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F023,appendix,appendix.tex,583,fig:appendix_n2_rounds_to_consensus,graphics/n2_gpt5_nano/07_rounds_to_consensus_overall.png,31d03e2acf7bbebd372f107ab5414eb355fba87b4cdce692e155a2b4454b5ce2,scripts/analyze_n2_baseline_comparison.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain_pending_appendix_decision,Generated in the N2 comparison output and copied into the paper.
F024,appendix,appendix.tex,585,fig:appendix_n2_rounds_to_consensus,graphics/n2_gpt5_nano/08_rounds_to_consensus_by_competition.png,aaf8e0e599f24bfa8f25ebc7a59db1a9e73930fc23c5ae8523f4cdf06ed84646,scripts/analyze_n2_baseline_comparison.py,verified,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain_pending_appendix_decision,Generated in the N2 comparison output and copied into the paper.
F025,appendix,appendix.tex,599,fig:appendix_n2_order,graphics/appendix/bilateral_order_diagnostics_4x3.png,e408ccc785b21d2f130202828fa9420eecd80564caafc07c7836ed323e91ee8b,scripts/analyze_n2_baseline_comparison.py,manual-composite,experiments/results/n2_baseline_comparison_analysis_20260505/all_runs_with_metrics.csv,retain_pending_appendix_decision,The script makes order diagnostics. Final 4x3 composition code was not found.
F026,appendix,appendix.tex,612,fig:appendix_multiagent_hom_competition,graphics/n_gt_2_report/hom_adversary_payoff_vs_elo_by_competition_3x5.png,b6979ffa92c402de85f8162e5e11dfb41c44bae73f8ae12b6cb6a4ffe3f61876,scripts/analyze_n2_plus_multiagent_comparison.py,manual-composite,experiments/results/full_games123_multiagent_production_20260428_085255,retain_pending_appendix_decision,The script makes per-game panels. Final 3x5 composition code was not found.
F027,appendix,appendix.tex,619,fig:appendix_multiagent_hetero_competition,graphics/n_gt_2_report/heterogeneous_payoff_vs_arena_elo_by_competition_3x5.png,3a945cb68484bf0d5c14b5b63708ec37bd82b5d752a3cc4418ed04bc7c4c7f80,scripts/analyze_n2_plus_multiagent_comparison.py,manual-composite,experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848,retain_pending_appendix_decision,The script makes per-game panels. Final 3x5 composition code was not found.
F028,appendix,appendix.tex,633,fig:appendix_multiagent_hetero_payoff_full,graphics/n_gt_2_report/heterogeneous_payoff_vs_arena_elo_by_n.png,091a33445a04a4d171ecb88994cc7fcaf3fe3862d3d3cc8c0b008548062d8a23,scripts/analyze_n2_plus_multiagent_comparison.py,verified,experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F029,appendix,appendix.tex,640,fig:appendix_multiagent_hom_payoff_full,graphics/n_gt_2_report/hom_adversary_payoff_vs_elo_by_n.png,c243c1ce1c54bd76479d954be9df8b1e271367245aafb9e3a6572f634b28c648,scripts/analyze_n2_plus_multiagent_comparison.py,verified,experiments/results/full_games123_multiagent_production_20260428_085255,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F030,appendix,appendix.tex,647,fig:multiagent_hetero_buckets,graphics/n_gt_2_report/heterogeneous_utility_by_elo_bucket_by_n.png,3286d22b1bf10322768bb7b001c8f6d54c5ca0f3341beb1faf0ba16639185a71,scripts/paper_figures/plot_n_gt_2_heterogeneous_utility_distribution.py,verified,experiments/results/n2_plus_multiagent_comparison_analysis_20260505/tables_multiagent/heterogeneous_agents_fresh.csv,retain_pending_appendix_decision,The script writes to the NeurIPS staging tree before the paper copy.
F031,appendix,appendix.tex,662,fig:multiagent_performance_elo,graphics/n_gt_2_report/heterogeneous_performance_elo_vs_arena_by_game_n.png,bc1a0f84527b8f7b87f04e74711232a734cc69f3990b050445a0090aa603c52c,scripts/analyze_n2_plus_multiagent_comparison.py,verified,experiments/results/full_games123_multiagent_heterogeneous_equal_width_openrouter_repair_20260429_113848,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F032,appendix,appendix.tex,676,fig:appendix_multiagent_dilution,graphics/n_gt_2_report/hom_adversary_dilution_advantage_vs_n.png,e48786a2be4c3a602c226294c71d3b5496d48eb35018fbd0d5ef1703455a173d,scripts/analyze_n2_plus_multiagent_comparison.py,verified,experiments/results/full_games123_multiagent_production_20260428_085255,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F033,appendix,appendix.tex,678,fig:appendix_multiagent_dilution,graphics/n_gt_2_report/hom_adversary_dilution_z_advantage_by_band.png,9fc902052bf99e9a3d683217fc653e888c74fe9f53e10e02202309a857dff251,scripts/analyze_n2_plus_multiagent_comparison.py,verified,experiments/results/full_games123_multiagent_production_20260428_085255,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F034,appendix,appendix.tex,688,fig:multiagent_hetero_vs_homo_gini,graphics/multiagent_gini/heterogeneous_vs_homogeneous_gini_bars.png,117abe6fedd82f9e18ff08c861316493f92e34f8c54e13f0dd2994ab1fd5f4e1,scripts/paper_figures/plot_random_monoculture_gini_vs_heterogeneous.py;scripts/paper_figures/render_figure7_label_edits.py,inferred,experiments/results/full_games123_random_monoculture_control_20260628_014357;experiments/results/n2_plus_multiagent_comparison_analysis_20260505/tables_multiagent/heterogeneous_runs_fresh.csv,retain_pending_appendix_decision,The first script makes the plot. The second script applies paper label edits.
F035,appendix,appendix.tex,695,fig:multiagent_homo_adversary,graphics/n_gt_2_report/homogeneous_adversary_gini_and_role_payoff.png,b3838bdeb2c3b2aca978ab9fb776249f2bf832d7cfb3d84f9d40c2680d62401b,scripts/paper_figures/plot_icml_homogeneous_adversary_main_panels.py,verified,overleaf/icml_aiwild_template/graphics/n_gt_2_report/homogeneous_adversary_baseline_only_vs_all_payoff_gini_summary.csv;overleaf/icml_aiwild_template/graphics/n_gt_2_report/role_payoff_with_within_run_variance_bars_summary.csv,retain_pending_appendix_decision,The script writes to the ICML staging tree before the paper copy.
F036,appendix,appendix.tex,702,fig:multiagent_gini,graphics/n_gt_2_report/general_shifted_gini_vs_n.png,e47f4a7d08cd58de70b7f050839c4235bbd2e1c7535f110d8f019ae86362b412,scripts/analyze_n2_plus_multiagent_comparison.py,verified,analysis/nash_lindahl_fairness_20260505/agent_metrics.csv;analysis/nash_lindahl_fairness_20260505/run_metrics.csv,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F037,appendix,appendix.tex,712,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_fairness_distance_vs_n.png,4d128faafd0bb59d80d280e7b9ecd5945ff33fdf91fcf759a63661c9cd4a0c81,scripts/analyze_n2_plus_multiagent_comparison.py,verified,analysis/nash_lindahl_fairness_20260505/agent_metrics.csv;analysis/nash_lindahl_fairness_20260505/run_metrics.csv,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F038,appendix,appendix.tex,714,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_utility_gini_vs_n.png,f51f8ed00dc8c7a19351abcd9e02dbfd3aa3b01c38de84b23572b0e956b91e15,scripts/analyze_n2_plus_multiagent_comparison.py,verified,analysis/nash_lindahl_fairness_20260505/agent_metrics.csv;analysis/nash_lindahl_fairness_20260505/run_metrics.csv,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
F039,appendix,appendix.tex,716,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_social_welfare_efficiency_vs_n.png,f1364aa046a11ea05d99d9e71fceac4c2bebf18471affc9f3de661d9b6087ba9,scripts/analyze_n2_plus_multiagent_comparison.py,verified,analysis/nash_lindahl_fairness_20260505/agent_metrics.csv;analysis/nash_lindahl_fairness_20260505/run_metrics.csv,retain_pending_appendix_decision,Generated in the N2 plus multiagent analysis and copied into the paper.
