figure_id,paper_section,tex_source,tex_line,latex_label,graphic_path,resolution_status,sha256,provenance_ref,retention_status,notes
N011,appendix,appendix.tex,294,fig:n2_adversary_payoff_by_competition,graphics/n2_gpt5_nano/01_02_adversary_payoff_combined.png,present,22d9a6f6939bf54208315da08d5d78a5da9f25b2d167fa936ac333ae98179e10,F005,retain_pending_appendix_decision,Shared appendix figure.
N012,appendix,appendix.tex,301,fig:appendix_n2_baseline_payoff_raw,graphics/n2_gpt5_nano/04_baseline_payoff_by_competition_raw_per_elo.png,present,e3ca94a423222b86ac1cc8a2b9e86e95917c5d79521eccb0f767ae5bd2792f98,F006,retain_pending_appendix_decision,Shared appendix figure.
N013,appendix,appendix.tex,360,fig:n2_optimality,graphics/n2_gpt5_nano/10_total_welfare_by_competition_ewma.png,present,5a3d9b1ce9305c888855f3dd8445823a00573318c9cbefcd2331788976d1753d,F007,retain_pending_appendix_decision,Shared appendix figure.
N014,appendix,appendix.tex,378,fig:appendix_n2_benchmark_distance,graphics/n2_gpt5_nano/11_fairness_distance_three_game_curves.png,present,548a64db06ae086137b4c0b17332c0b71c776a04c67de4969a8f0f9544b33f92,F009,retain_pending_appendix_decision,Shared appendix figure.
N015,appendix,appendix.tex,386,fig:n2_fairness,graphics/n2_gpt5_nano/11_fairness_distance_overall.png,present,5d559158c4824dc0c6cf2825239f85712584942fbabe7dc591259b7b2206f610,F010,retain_pending_appendix_decision,Shared appendix figure.
N016,appendix,appendix.tex,388,fig:n2_fairness,graphics/n2_gpt5_nano/12_fairness_distance_by_competition.png,present,f38c0428d906ad246573f2a88e5d5bc294d5c74506bdabad6c107decba0a9a8d,F011,retain_pending_appendix_decision,Shared appendix figure.
N017,appendix,appendix.tex,390,fig:n2_fairness,graphics/n2_gpt5_nano/13_fairness_excess_by_role_overall.png,present,f860ea7341af20505775a5bc426753d0534822954ddd909e8564414e5ac1c052,F012,retain_pending_appendix_decision,Shared appendix figure.
N018,appendix,appendix.tex,421,fig:appendix_llama_overall,graphics/appendix_llama/game1_overall_utility_vs_elo.png,present,e81cbff6157ba0d16a603833cf225ce048d793c9bf005b8a90b652cb949269d1,F014,retain_pending_appendix_decision,Shared appendix figure.
N019,appendix,appendix.tex,422,fig:appendix_llama_overall,graphics/appendix_llama/game2_overall_utility_vs_elo.png,present,a07689b13427785b01cfd1d1bbab52e6428409c8d1bb7dde8836816a67e5b70d,F015,retain_pending_appendix_decision,Shared appendix figure.
N020,appendix,appendix.tex,423,fig:appendix_llama_overall,graphics/appendix_llama/game3_overall_utility_vs_elo.png,present,c4ac59adcf2bd9185e7e4040155379daf0ef6715e43def7e4f46490cbeb12588,F016,retain_pending_appendix_decision,Shared appendix figure.
N021,appendix,appendix.tex,430,fig:appendix_llama_baseline_payoff,graphics/n2_llama33/03_baseline_payoff_overall.png,present,df7ffe9db31eb7c8eb689844aefb2aca1f3a5447c8dd58e5dfacb84d53c85fdb,F017,retain_pending_appendix_decision,Shared appendix figure.
N022,appendix,appendix.tex,431,fig:appendix_llama_baseline_payoff,graphics/n2_llama33/04_baseline_payoff_by_competition.png,present,aad6001b152d017d809234b726310b9657647212ba6cf4aac40fab1e33c1b07b,F018,retain_pending_appendix_decision,Shared appendix figure.
N023,appendix,appendix.tex,457,fig:ttc_effort,graphics/ttc_full/overall_by_effort_adversary_baseline_combined.png,present,6e199135d375fb4f7442a936a133b3036115c96df46214daa63a564727a0d0d7,F019,retain_pending_appendix_decision,Shared appendix figure.
N024,appendix,appendix.tex,495,fig:appendix_ttc_stage_tokens,graphics/ttc_stage_tokens_by_phase.png,present,ef94a238f04509645a384000dd242f2b03d477bd72a08a5d603b27da88404a45,F021,retain_pending_appendix_decision,Shared appendix figure.
N025,appendix,appendix.tex,514,fig:appendix_n2_baseline_random_pairings,graphics/n_gt_2_report/n2_baseline_vs_heterogeneous_pairings.png,present,90e5bcb49263a15df1b8fe981d8dfa43476a787ae717fa01ee7469da55607c14,F022,retain_pending_appendix_decision,Shared appendix figure.
N026,appendix,appendix.tex,530,fig:appendix_n2_rounds_to_consensus,graphics/n2_gpt5_nano/07_rounds_to_consensus_overall.png,present,84b2301413d4ed533255087ffd3b1ee8338c5add6322dd44710470636aa1c8d3,F023,retain_pending_appendix_decision,Shared appendix figure.
N027,appendix,appendix.tex,532,fig:appendix_n2_rounds_to_consensus,graphics/n2_gpt5_nano/08_rounds_to_consensus_by_competition.png,present,ccff3ab0112ea15d057eabc9d672c902bdfc423e0f0c04c787f3e5f87040eef4,F024,retain_pending_appendix_decision,Shared appendix figure.
N028,appendix,appendix.tex,546,fig:appendix_n2_order,graphics/appendix/bilateral_order_diagnostics_4x3.png,present,c306a829f25c6ed40ab0dc4ecdec218bb9211a45286507c325bc7f854b230282,F025,retain_pending_appendix_decision,Shared appendix figure.
N029,appendix,appendix.tex,559,fig:appendix_multiagent_hom_competition,graphics/n_gt_2_report/hom_adversary_payoff_vs_elo_by_competition_3x5.png,present,d759643ad8f6088255b9b0e80535160bfde461c5b9156dc17592030f4107dfb7,F026,retain_pending_appendix_decision,Shared appendix figure.
N030,appendix,appendix.tex,566,fig:appendix_multiagent_hetero_competition,graphics/n_gt_2_report/heterogeneous_payoff_vs_arena_elo_by_competition_3x5.png,present,0580e964969314b80702f324b80b1aeb9d1ddab033a533b6e000011e04becbf6,F027,retain_pending_appendix_decision,Shared appendix figure.
N031,appendix,appendix.tex,580,fig:appendix_multiagent_hetero_payoff_full,graphics/n_gt_2_report/heterogeneous_payoff_vs_arena_elo_by_n.png,present,3fc23a00e614302b6c1f8578bc68c42b1a6d4f1c61a426926c1f56165391a7fd,F028,retain_pending_appendix_decision,Shared appendix figure.
N032,appendix,appendix.tex,587,fig:appendix_multiagent_hom_payoff_full,graphics/n_gt_2_report/hom_adversary_payoff_vs_elo_by_n.png,present,cb8fcb544a4e5dbe482a077289902b17e192057fd055cc6bb8f37a1966c091d6,F029,retain_pending_appendix_decision,Shared appendix figure.
N033,appendix,appendix.tex,594,fig:multiagent_hetero_buckets,graphics/n_gt_2_report/heterogeneous_utility_by_elo_bucket_by_n.png,present,8c3c19c8bf83eaba60ace060e3fd70c9ddae6976594e2c52d08cbce636438b37,F030,retain_pending_appendix_decision,Shared appendix figure.
N034,appendix,appendix.tex,609,fig:multiagent_performance_elo,graphics/n_gt_2_report/heterogeneous_performance_elo_vs_arena_by_game_n.png,present,cda03509802eebf676ed452a7a2710c036fcbea88f38026c4e46cebc28e142b5,F031,retain_pending_appendix_decision,Shared appendix figure.
N035,appendix,appendix.tex,623,fig:appendix_multiagent_dilution,graphics/n_gt_2_report/hom_adversary_dilution_advantage_vs_n.png,present,954300a336c1dafa8fa6d3c98daf51a2874d78489c42c7fe32d98b6cfea30ed7,F032,retain_pending_appendix_decision,Shared appendix figure.
N036,appendix,appendix.tex,625,fig:appendix_multiagent_dilution,graphics/n_gt_2_report/hom_adversary_dilution_z_advantage_by_band.png,present,bd16e895f6e49388abd559f2bc066ea1205ad47252403c0a153a0baf5216aaba,F033,retain_pending_appendix_decision,Shared appendix figure.
N037,appendix,appendix.tex,635,fig:multiagent_gini,graphics/n_gt_2_report/general_shifted_gini_vs_n.png,present,1140d7fc235173cc79f9dca4cf5513556fa954c7eae8a9959752679a9eaa8b40,F036,retain_pending_appendix_decision,Shared appendix figure.
N038,appendix,appendix.tex,645,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_fairness_distance_vs_n.png,present,56321bce46945a739d7313b9d1a71dada2a4e2d1357dd2e8fd11bf9c187b5101,F037,retain_pending_appendix_decision,Shared appendix figure.
N039,appendix,appendix.tex,647,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_utility_gini_vs_n.png,present,b279966bfc8a7807bab389f19a1d6d3b984c5e1200ded4f48814330476cf6124,F038,retain_pending_appendix_decision,Shared appendix figure.
N040,appendix,appendix.tex,649,fig:multiagent_fairness_efficiency,graphics/n_gt_2_report/multiagent_social_welfare_efficiency_vs_n.png,present,238bcd464ab181202bb623dba47ca748328ed6d85f68f66bb502120885a1cef5,F039,retain_pending_appendix_decision,Shared appendix figure.
